student,school,sex,age,Medu,Fedu,Mjob,Fjob,guardian,famsup
1,GP,F,18,4,4,at_home,teacher,mother,no
2,GP,F,17,1,1,at_home,other,father,yes
3,GP,F,15,1,1,at_home,other,mother,no
4,GP,F,15,4,2,health,services,mother,yes
5,GP,F,16,3,3,other,other,father,yes
6,GP,M,16,4,3,services,other,mother,yes
7,GP,M,16,2,2,other,other,mother,no
8,GP,F,17,4,4,other,teacher,mother,yes
9,GP,M,15,3,2,services,other,mother,yes
10,GP,M,15,3,4,other,other,mother,yes
11,GP,F,15,4,4,teacher,health,mother,yes
12,GP,F,15,2,1,services,other,father,yes
13,GP,M,15,4,4,health,services,father,yes
14,GP,M,15,4,3,teacher,other,mother,yes
15,GP,M,15,2,2,other,other,other,yes
16,GP,F,16,4,4,health,other,mother,yes
17,GP,F,16,4,4,services,services,mother,yes
18,GP,F,16,3,3,other,other,mother,yes
19,GP,M,17,3,2,services,services,mother,yes
20,GP,M,16,4,3,health,other,father,no
21,GP,M,15,4,3,teacher,other,mother,no
22,GP,M,15,4,4,health,health,father,yes
23,GP,M,16,4,2,teacher,other,mother,no
24,GP,M,16,2,2,other,other,mother,yes
25,GP,F,15,2,4,services,health,mother,yes
26,GP,F,16,2,2,services,services,mother,yes
27,GP,M,15,2,2,other,other,mother,yes
28,GP,M,15,4,2,health,services,mother,no
29,GP,M,16,3,4,services,other,mother,yes
30,GP,M,16,4,4,teacher,teacher,mother,yes
31,GP,M,15,4,4,health,services,mother,yes
32,GP,M,15,4,4,services,services,mother,yes
33,GP,M,15,4,3,teacher,at_home,mother,yes
34,GP,M,15,3,3,other,other,mother,no
35,GP,M,16,3,2,other,other,mother,yes
36,GP,F,15,2,3,other,other,father,yes
37,GP,M,15,4,3,teacher,services,mother,yes
38,GP,M,16,4,4,other,teacher,mother,yes
39,GP,F,15,3,4,services,health,mother,yes
40,GP,F,15,2,2,at_home,other,mother,yes
41,GP,F,16,2,2,other,other,mother,yes
42,GP,M,15,4,4,teacher,other,other,yes
43,GP,M,15,4,4,services,teacher,father,yes
44,GP,M,15,2,2,services,services,father,yes
45,GP,F,16,2,2,other,at_home,father,no
46,GP,F,15,4,3,other,other,mother,yes
47,GP,F,16,3,3,other,services,mother,yes
48,GP,M,16,4,3,health,services,mother,no
49,GP,M,15,4,2,teacher,other,mother,yes
50,GP,F,15,4,4,services,teacher,father,yes
51,GP,F,16,2,2,services,services,mother,yes
52,GP,F,15,4,2,health,other,mother,yes
53,GP,M,15,4,2,health,health,father,no
54,GP,F,15,4,4,services,services,mother,yes
55,GP,F,15,3,3,other,other,mother,no
56,GP,F,16,2,1,other,other,mother,no
57,GP,F,15,4,3,services,services,mother,yes
58,GP,M,15,4,4,teacher,health,mother,yes
59,GP,M,15,1,2,other,at_home,father,yes
60,GP,F,16,4,2,services,other,mother,yes
61,GP,F,16,4,4,health,teacher,mother,yes
62,GP,F,16,1,1,services,services,father,yes
63,GP,F,16,1,2,other,services,father,no
64,GP,F,16,4,3,teacher,health,mother,yes
65,GP,F,15,4,3,services,services,father,no
66,GP,F,16,4,3,teacher,services,mother,yes
67,GP,M,15,4,4,other,services,mother,yes
68,GP,F,16,3,1,services,other,mother,yes
69,GP,F,15,2,2,health,services,mother,yes
70,GP,F,15,3,1,other,other,father,yes
71,GP,M,16,3,1,other,other,father,yes
72,GP,M,15,4,2,other,other,mother,no
73,GP,F,15,1,1,other,other,mother,yes
74,GP,M,16,3,1,other,other,mother,no
75,GP,F,16,3,3,other,services,mother,yes
76,GP,M,15,4,3,teacher,other,mother,yes
77,GP,M,15,4,0,teacher,other,mother,no
78,GP,F,16,2,2,other,other,mother,no
79,GP,M,17,2,1,other,other,mother,yes
80,GP,F,16,3,4,at_home,other,mother,yes
81,GP,M,15,2,3,other,services,father,yes
82,GP,M,15,2,3,other,other,mother,no
83,GP,F,15,3,2,services,other,mother,yes
84,GP,M,15,2,2,services,services,mother,no
85,GP,F,15,1,1,other,other,father,yes
86,GP,F,15,4,4,services,services,father,no
87,GP,F,16,2,2,at_home,other,mother,yes
88,GP,F,15,4,2,other,other,mother,yes
89,GP,M,16,2,2,services,other,father,no
90,GP,M,16,4,4,teacher,health,mother,yes
91,GP,F,16,3,3,other,other,mother,yes
92,GP,F,15,4,3,services,other,mother,no
93,GP,F,16,3,1,other,other,father,yes
94,GP,F,16,4,2,teacher,services,mother,yes
95,GP,M,15,2,2,services,health,mother,yes
96,GP,F,15,1,1,at_home,other,mother,yes
97,GP,M,16,4,3,services,other,mother,yes
98,GP,F,16,2,1,other,other,mother,yes
99,GP,F,16,4,4,other,other,mother,no
100,GP,F,16,4,3,other,at_home,mother,yes
101,GP,M,16,4,4,services,services,mother,yes
102,GP,M,16,4,4,services,teacher,father,yes
103,GP,M,15,4,4,services,other,mother,yes
104,GP,F,15,3,2,services,other,mother,yes
105,GP,M,15,3,4,services,other,mother,yes
106,GP,F,15,3,3,other,health,father,no
107,GP,F,15,2,2,other,other,mother,yes
108,GP,M,16,3,3,services,other,father,yes
109,GP,M,15,4,4,other,other,father,yes
110,GP,F,16,4,4,health,health,mother,yes
111,GP,M,15,4,4,teacher,teacher,mother,no
112,GP,F,16,3,3,services,other,father,yes
113,GP,F,16,2,2,at_home,other,mother,no
114,GP,M,15,4,2,teacher,other,mother,no
115,GP,M,15,2,1,health,services,mother,no
116,GP,M,16,4,4,teacher,teacher,father,yes
117,GP,M,15,4,4,other,teacher,father,yes
118,GP,M,16,3,3,other,services,father,no
119,GP,M,17,1,3,other,other,father,yes
120,GP,M,15,3,4,other,other,father,no
121,GP,F,15,1,2,at_home,services,mother,no
122,GP,M,15,2,2,services,services,father,yes
123,GP,F,16,2,4,other,health,father,yes
124,GP,M,16,4,4,health,other,mother,yes
125,GP,F,16,2,2,other,other,mother,no
126,GP,M,15,3,4,services,services,father,no
127,GP,F,15,3,4,other,other,mother,no
128,GP,F,19,0,1,at_home,other,other,yes
129,GP,M,18,2,2,services,other,mother,yes
130,GP,M,16,4,4,teacher,teacher,mother,no
131,GP,F,15,3,4,services,teacher,father,yes
132,GP,F,15,1,1,at_home,other,mother,yes
133,GP,F,17,2,2,other,other,father,yes
134,GP,F,16,3,4,services,other,father,no
135,GP,M,15,3,4,at_home,teacher,mother,yes
136,GP,F,15,4,4,services,at_home,mother,yes
137,GP,M,17,3,4,at_home,other,mother,no
138,GP,F,16,3,3,other,other,other,yes
139,GP,M,16,1,1,services,other,mother,no
140,GP,F,15,4,4,teacher,teacher,mother,no
141,GP,M,15,4,3,teacher,services,father,yes
142,GP,M,16,2,2,services,services,father,yes
143,GP,F,15,4,4,teacher,services,mother,yes
144,GP,F,16,1,1,at_home,at_home,mother,no
145,GP,M,17,2,1,other,other,mother,yes
146,GP,F,15,1,1,other,services,father,yes
147,GP,F,15,3,2,health,services,father,yes
148,GP,F,15,1,2,at_home,other,mother,yes
149,GP,M,16,4,4,teacher,teacher,mother,yes
150,GP,M,15,2,1,services,other,mother,no
151,GP,M,18,1,1,other,other,mother,no
152,GP,M,16,2,1,at_home,other,mother,no
153,GP,F,15,3,3,services,services,other,yes
154,GP,M,19,3,2,services,at_home,mother,yes
155,GP,F,17,4,4,other,teacher,mother,yes
156,GP,M,15,2,3,at_home,services,mother,no
157,GP,M,17,1,2,other,other,mother,no
158,GP,F,18,1,1,at_home,other,mother,yes
159,GP,M,16,2,2,at_home,other,mother,no
160,GP,M,16,3,3,other,services,father,yes
161,GP,M,17,2,1,at_home,other,mother,no
162,GP,M,15,3,2,other,other,mother,yes
163,GP,M,16,1,2,other,other,mother,no
164,GP,M,17,1,3,at_home,services,father,no
165,GP,M,17,1,1,other,services,mother,no
166,GP,M,16,3,2,services,services,mother,yes
167,GP,M,16,2,2,other,other,father,no
168,GP,F,16,4,2,health,services,father,no
169,GP,F,16,2,2,other,other,mother,yes
170,GP,F,16,4,4,health,health,mother,yes
171,GP,M,16,3,4,other,other,father,yes
172,GP,M,16,1,0,other,other,mother,yes
173,GP,M,17,4,4,teacher,other,mother,yes
174,GP,F,16,1,3,at_home,services,mother,no
175,GP,F,16,3,3,other,other,mother,yes
176,GP,M,17,4,3,teacher,other,mother,no
177,GP,F,16,2,2,services,other,mother,no
178,GP,M,17,3,3,other,other,father,no
179,GP,M,16,4,2,teacher,services,mother,yes
180,GP,M,17,4,3,other,other,mother,yes
181,GP,M,16,4,3,teacher,other,mother,yes
182,GP,M,16,3,3,services,other,mother,no
183,GP,F,17,2,4,services,services,father,yes
184,GP,F,17,3,3,other,other,mother,yes
185,GP,F,16,3,2,other,other,mother,yes
186,GP,M,17,3,3,services,services,mother,yes
187,GP,M,16,1,2,services,services,mother,yes
188,GP,M,16,2,1,other,other,mother,no
189,GP,F,17,3,3,health,other,mother,yes
190,GP,M,17,1,2,at_home,other,mother,no
191,GP,F,16,2,3,services,services,mother,no
192,GP,F,17,1,1,at_home,services,mother,no
193,GP,M,17,1,2,at_home,services,other,no
194,GP,M,16,3,3,services,services,mother,yes
195,GP,M,16,2,3,other,other,father,no
196,GP,F,17,2,4,services,services,father,no
197,GP,M,17,4,4,services,teacher,mother,no
198,GP,M,16,3,3,teacher,other,father,yes
199,GP,F,17,4,4,services,teacher,mother,yes
200,GP,F,16,4,4,teacher,teacher,mother,yes
201,GP,F,16,4,3,health,other,mother,yes
202,GP,F,16,2,3,other,other,mother,yes
203,GP,F,17,1,1,other,other,mother,yes
204,GP,F,17,2,2,other,other,mother,yes
205,GP,F,16,2,2,services,services,mother,yes
206,GP,F,17,3,4,at_home,services,mother,yes
207,GP,F,16,3,1,services,other,mother,yes
208,GP,F,16,4,3,teacher,other,mother,no
209,GP,F,16,1,1,at_home,other,mother,yes
210,GP,F,17,4,3,teacher,other,mother,yes
211,GP,F,19,3,3,other,other,other,yes
212,GP,M,17,4,4,services,other,mother,yes
213,GP,F,16,2,2,other,other,mother,yes
214,GP,M,18,2,2,services,other,mother,yes
215,GP,F,17,4,4,services,other,mother,yes
216,GP,F,17,3,2,other,other,mother,no
217,GP,F,17,4,3,other,other,mother,no
218,GP,M,18,3,3,services,health,father,yes
219,GP,F,17,2,3,at_home,other,father,yes
220,GP,F,17,2,2,at_home,at_home,mother,yes
221,GP,F,17,2,1,at_home,services,mother,yes
222,GP,F,17,1,1,at_home,other,mother,yes
223,GP,F,16,2,3,services,teacher,mother,no
224,GP,M,18,2,2,other,other,mother,yes
225,GP,F,16,4,4,teacher,services,mother,yes
226,GP,F,18,3,1,other,other,mother,no
227,GP,F,17,3,2,other,other,mother,no
228,GP,M,17,2,3,services,services,father,yes
229,GP,M,18,2,1,at_home,other,mother,yes
230,GP,F,17,2,1,other,other,mother,no
231,GP,F,17,4,3,health,other,father,no
232,GP,M,17,2,2,other,other,father,yes
233,GP,M,17,4,4,teacher,teacher,mother,yes
234,GP,M,16,4,4,health,other,father,yes
235,GP,M,16,1,1,other,other,mother,yes
236,GP,M,16,3,2,at_home,other,mother,no
237,GP,M,17,2,2,other,other,father,no
238,GP,F,16,2,1,other,other,mother,no
239,GP,F,17,2,1,at_home,services,mother,no
240,GP,M,18,2,2,other,services,father,no
241,GP,M,17,4,3,health,other,mother,no
242,GP,M,17,4,4,teacher,other,mother,yes
243,GP,M,16,4,3,teacher,other,mother,no
244,GP,M,16,4,4,services,services,mother,no
245,GP,F,18,2,1,other,other,other,yes
246,GP,M,16,2,1,other,other,mother,no
247,GP,M,17,2,3,other,other,father,no
248,GP,M,22,3,1,services,services,mother,no
249,GP,M,18,3,3,other,services,mother,yes
250,GP,M,16,0,2,other,other,mother,no
251,GP,M,18,3,2,services,other,mother,no
252,GP,M,16,3,3,at_home,other,other,yes
253,GP,M,18,2,1,services,services,mother,no
254,GP,M,16,2,1,other,other,mother,no
255,GP,M,17,2,1,other,other,mother,no
256,GP,M,17,1,1,health,other,mother,yes
257,GP,F,17,4,2,teacher,services,mother,yes
258,GP,M,19,4,3,services,at_home,mother,yes
259,GP,M,18,2,1,other,other,mother,no
260,GP,F,17,2,2,services,services,father,no
261,GP,F,18,4,3,services,other,father,yes
262,GP,M,18,4,3,teacher,other,mother,yes
263,GP,M,18,3,2,other,other,mother,no
264,GP,F,17,3,3,other,other,mother,no
265,GP,F,18,2,2,at_home,services,mother,yes
266,GP,M,18,3,4,other,other,mother,yes
267,GP,M,17,3,1,services,other,mother,no
268,GP,F,18,4,4,teacher,other,mother,no
269,GP,M,18,4,2,health,other,father,yes
270,GP,F,18,2,1,other,other,mother,yes
271,GP,F,19,3,3,other,services,other,yes
272,GP,F,18,2,3,other,services,father,yes
273,GP,F,18,1,1,other,other,mother,yes
274,GP,M,17,1,2,at_home,at_home,mother,yes
275,GP,F,17,2,4,at_home,health,mother,yes
276,GP,F,17,2,2,services,other,mother,yes
277,GP,F,18,3,2,other,services,mother,no
278,GP,M,18,4,4,teacher,services,mother,no
279,GP,F,18,4,4,health,health,father,yes
280,GP,M,18,4,3,teacher,services,mother,no
281,GP,M,17,4,1,services,other,mother,no
282,GP,M,17,3,2,teacher,services,mother,no
283,GP,F,18,1,1,at_home,other,mother,yes
284,GP,F,18,1,1,other,other,mother,no
285,GP,F,17,2,2,other,other,mother,yes
286,GP,M,17,1,1,other,other,father,no
287,GP,F,18,2,2,at_home,at_home,mother,yes
288,GP,F,17,1,1,services,teacher,mother,yes
289,GP,M,18,2,1,services,services,mother,no
290,GP,M,18,4,4,teacher,teacher,mother,yes
291,GP,M,18,4,2,teacher,other,mother,yes
292,GP,F,17,4,3,health,services,mother,yes
293,GP,F,18,2,1,services,at_home,mother,no
294,GP,F,17,3,1,services,other,mother,yes
295,GP,M,18,3,2,services,other,mother,yes
296,GP,M,17,3,3,health,other,mother,yes
297,GP,F,19,4,4,health,other,other,yes
298,GP,F,18,4,3,other,other,other,yes
299,GP,F,18,4,3,other,other,father,yes
300,GP,M,18,4,4,teacher,teacher,mother,yes
301,GP,F,18,4,4,health,other,mother,yes
302,GP,M,17,4,4,other,teacher,father,no
303,GP,F,17,4,2,other,other,mother,yes
304,GP,F,17,3,2,health,health,father,yes
305,GP,M,19,3,3,other,other,other,yes
306,GP,F,18,2,4,services,at_home,other,yes
307,GP,M,20,3,2,services,other,other,no
308,GP,M,19,4,4,teacher,services,other,yes
309,GP,M,19,3,3,other,services,father,no
310,GP,F,19,1,1,at_home,other,other,yes
311,GP,F,19,1,2,services,services,other,no
312,GP,F,19,2,1,at_home,other,other,yes
313,GP,M,19,1,2,other,services,other,no
314,GP,F,19,3,2,services,other,other,yes
315,GP,F,19,1,1,at_home,health,other,no
316,GP,F,19,2,3,other,other,other,no
317,GP,F,18,2,1,services,other,mother,yes
318,GP,F,18,4,3,other,other,mother,yes
319,GP,F,17,3,4,at_home,services,father,yes
320,GP,F,18,4,4,teacher,other,mother,yes
321,GP,F,17,4,3,services,services,mother,yes
322,GP,F,17,2,2,other,other,mother,yes
323,GP,F,17,2,2,services,services,mother,yes
324,GP,F,17,3,1,services,services,father,yes
325,GP,F,17,0,2,at_home,at_home,father,no
326,GP,M,18,4,4,other,other,mother,no
327,GP,M,17,3,3,other,services,mother,no
328,GP,M,17,2,2,services,other,mother,yes
329,GP,F,17,4,4,teacher,services,mother,yes
330,GP,F,17,4,4,teacher,teacher,mother,yes
331,GP,M,18,2,2,other,other,mother,yes
332,GP,F,17,2,4,at_home,other,father,yes
333,GP,F,18,3,3,services,services,mother,no
334,GP,F,18,2,2,other,other,other,no
335,GP,F,18,2,2,at_home,other,mother,no
336,GP,F,17,3,4,services,other,mother,no
337,GP,F,19,3,1,services,at_home,other,no
338,GP,F,17,3,2,other,other,mother,yes
339,GP,F,18,3,3,services,services,mother,yes
340,GP,F,17,3,2,other,other,mother,yes
341,GP,F,19,2,1,services,services,other,no
342,GP,M,18,4,4,teacher,services,father,yes
343,GP,M,18,3,4,services,other,mother,no
344,GP,F,17,2,2,at_home,at_home,father,yes
345,GP,F,18,2,3,at_home,other,mother,yes
346,GP,F,18,3,2,other,services,mother,no
347,GP,M,18,4,3,teacher,services,mother,no
348,GP,M,18,4,3,teacher,other,mother,yes
349,GP,F,17,4,3,health,other,mother,yes
350,MS,M,18,3,2,other,other,mother,yes
351,MS,M,19,1,1,other,services,other,no
352,MS,M,17,3,3,health,other,mother,yes
353,MS,M,18,1,3,at_home,services,mother,no
354,MS,M,19,1,1,other,other,other,yes
355,MS,M,17,4,3,services,other,mother,yes
356,MS,F,18,3,3,services,services,father,yes
357,MS,F,17,4,4,teacher,services,father,yes
358,MS,F,17,3,2,services,other,mother,no
359,MS,M,18,1,1,other,services,father,no
360,MS,F,18,1,1,at_home,services,father,no
361,MS,F,18,1,4,at_home,other,mother,no
362,MS,M,18,1,1,at_home,other,mother,no
363,MS,F,18,3,3,services,services,mother,yes
364,MS,F,17,4,4,at_home,at_home,mother,yes
365,MS,F,17,1,2,other,services,father,no
366,MS,M,18,1,3,at_home,other,mother,yes
367,MS,M,18,4,4,teacher,services,mother,no
368,MS,F,17,1,1,other,services,mother,yes
369,MS,F,18,2,3,at_home,services,father,yes
370,MS,F,18,4,4,other,teacher,father,yes
371,MS,F,19,3,2,services,services,other,no
372,MS,M,18,1,2,at_home,services,father,yes
373,MS,F,17,2,2,other,at_home,mother,no
374,MS,F,17,1,2,other,other,mother,no
375,MS,F,18,4,4,other,other,mother,no
376,MS,F,18,1,1,other,other,mother,no
377,MS,F,20,4,2,health,other,other,yes
378,MS,F,18,4,4,teacher,services,mother,no
379,MS,F,18,3,3,other,other,mother,no
380,MS,F,17,3,1,at_home,other,mother,yes
381,MS,M,18,4,4,teacher,teacher,father,no
382,MS,M,18,2,1,other,other,mother,no
383,MS,M,17,2,3,other,services,father,no
384,MS,M,19,1,1,other,services,mother,no
385,MS,M,18,4,2,other,other,father,no
386,MS,F,18,2,2,at_home,other,mother,no
387,MS,F,18,4,4,teacher,at_home,mother,yes
388,MS,F,19,2,3,services,other,mother,no
389,MS,F,18,3,1,teacher,services,mother,yes
390,MS,F,18,1,1,other,other,mother,no
391,MS,M,20,2,2,services,services,other,yes
392,MS,M,17,3,1,services,services,mother,no
393,MS,M,21,1,1,other,other,other,no
394,MS,M,18,3,2,services,other,mother,no
395,MS,M,19,1,1,other,at_home,father,no
396,GP,F,18,4,4,at_home,teacher,mother,no
397,GP,F,17,1,1,at_home,other,father,yes
398,GP,F,15,1,1,at_home,other,mother,no
399,GP,F,15,4,2,health,services,mother,yes
400,GP,F,16,3,3,other,other,father,yes
401,GP,M,16,4,3,services,other,mother,yes
402,GP,M,16,2,2,other,other,mother,no
403,GP,F,17,4,4,other,teacher,mother,yes
404,GP,M,15,3,2,services,other,mother,yes
405,GP,M,15,3,4,other,other,mother,yes
406,GP,F,15,4,4,teacher,health,mother,yes
407,GP,F,15,2,1,services,other,father,yes
408,GP,M,15,4,4,health,services,father,yes
409,GP,M,15,4,3,teacher,other,mother,yes
410,GP,M,15,2,2,other,other,other,yes
411,GP,F,16,4,4,health,other,mother,yes
412,GP,F,16,4,4,services,services,mother,yes
413,GP,F,16,3,3,other,other,mother,yes
414,GP,M,17,3,2,services,services,mother,yes
415,GP,M,16,4,3,health,other,father,no
416,GP,M,15,4,3,teacher,other,mother,no
417,GP,M,15,4,4,health,health,father,yes
418,GP,M,16,4,2,teacher,other,mother,no
419,GP,M,16,2,2,other,other,mother,yes
420,GP,F,15,2,4,services,health,mother,yes
421,GP,F,16,2,2,services,services,mother,yes
422,GP,M,15,2,2,other,other,mother,yes
423,GP,M,15,4,2,health,services,mother,no
424,GP,M,16,3,4,services,other,mother,yes
425,GP,M,16,4,4,teacher,teacher,mother,yes
426,GP,M,15,4,4,health,services,mother,yes
427,GP,M,15,4,4,services,services,mother,yes
428,GP,M,15,4,3,teacher,at_home,mother,yes
429,GP,M,15,3,3,other,other,mother,no
430,GP,M,16,3,2,other,other,mother,yes
431,GP,F,15,2,3,other,other,father,yes
432,GP,M,15,4,3,teacher,services,mother,yes
433,GP,M,16,4,4,other,teacher,mother,yes
434,GP,F,15,3,4,services,health,mother,yes
435,GP,F,15,2,2,at_home,other,mother,yes
436,GP,F,16,2,2,other,other,mother,yes
437,GP,M,15,4,4,teacher,other,other,yes
438,GP,M,15,4,4,services,teacher,father,yes
439,GP,M,15,2,2,services,services,father,yes
440,GP,F,16,2,2,other,at_home,father,no
441,GP,F,15,4,3,other,other,mother,yes
442,GP,F,16,3,3,other,services,mother,yes
443,GP,M,16,4,3,health,services,mother,no
444,GP,M,15,4,2,teacher,other,mother,yes
445,GP,F,15,4,4,services,teacher,father,yes
446,GP,F,16,2,2,services,services,mother,yes
447,GP,F,15,4,2,health,other,mother,yes
448,GP,M,15,4,2,health,health,father,no
449,GP,F,15,4,4,services,services,mother,yes
450,GP,F,15,3,3,other,other,mother,no
451,GP,F,16,2,1,other,other,mother,no
452,GP,F,15,4,3,services,services,mother,yes
453,GP,M,15,4,4,teacher,health,mother,yes
454,GP,M,15,1,2,other,at_home,father,yes
455,GP,F,16,4,2,services,other,mother,yes
456,GP,F,16,4,4,health,teacher,mother,yes
457,GP,F,16,1,1,services,services,father,yes
458,GP,F,16,1,2,other,services,father,no
459,GP,F,16,4,3,teacher,health,mother,yes
460,GP,F,15,4,3,services,services,father,no
461,GP,F,16,4,3,teacher,services,mother,yes
462,GP,M,15,4,4,other,services,mother,yes
463,GP,F,16,3,1,services,other,mother,yes
464,GP,F,15,2,2,health,services,mother,yes
465,GP,F,15,3,1,other,other,father,yes
466,GP,M,16,3,1,other,other,father,yes
467,GP,M,15,4,2,other,other,mother,no
468,GP,F,15,1,1,other,other,mother,yes
469,GP,M,16,3,1,other,other,mother,no
470,GP,F,16,3,3,other,services,mother,yes
471,GP,M,15,4,3,teacher,other,mother,yes
472,GP,M,15,4,0,teacher,other,mother,no
473,GP,F,16,2,2,other,other,mother,no
474,GP,M,17,2,1,other,other,mother,yes
475,GP,F,16,3,4,at_home,other,mother,yes
476,GP,M,15,2,3,other,services,father,yes
477,GP,M,15,2,3,other,other,mother,no
478,GP,F,15,3,2,services,other,mother,yes
479,GP,M,15,2,2,services,services,mother,no
480,GP,F,15,1,1,other,other,father,yes
481,GP,F,15,4,4,services,services,father,no
482,GP,F,16,2,2,at_home,other,mother,yes
483,GP,F,15,4,2,other,other,mother,yes
484,GP,M,16,2,2,services,other,father,no
485,GP,M,16,4,4,teacher,health,mother,yes
486,GP,F,16,3,3,other,other,mother,yes
487,GP,F,15,4,3,services,other,mother,no
488,GP,F,16,3,1,other,other,father,yes
489,GP,F,16,4,2,teacher,services,mother,yes
490,GP,M,15,2,2,services,health,mother,yes
491,GP,F,15,1,1,at_home,other,mother,yes
492,GP,M,16,4,3,services,other,mother,yes
493,GP,F,16,2,1,other,other,mother,yes
494,GP,F,16,4,4,other,other,mother,no
495,GP,F,16,4,3,other,at_home,mother,yes
496,GP,M,16,4,4,services,services,mother,yes
497,GP,M,16,4,4,services,teacher,father,yes
498,GP,M,15,4,4,services,other,mother,yes
499,GP,F,15,3,2,services,other,mother,yes
500,GP,M,15,3,4,services,other,mother,yes
501,GP,F,15,3,3,other,health,father,no
502,GP,F,15,2,2,other,other,mother,yes
503,GP,M,16,3,3,services,other,father,yes
504,GP,M,15,4,4,other,other,father,yes
505,GP,F,16,4,4,health,health,mother,yes
506,GP,M,15,4,4,teacher,teacher,mother,no
507,GP,F,16,3,3,services,other,father,yes
508,GP,F,16,2,2,at_home,other,mother,no
509,GP,M,15,4,2,teacher,other,mother,no
510,GP,M,15,2,1,health,services,mother,no
511,GP,M,16,4,4,teacher,teacher,father,yes
512,GP,M,15,4,4,other,teacher,father,yes
513,GP,M,16,3,3,other,services,father,no
514,GP,M,17,1,3,other,other,father,yes
515,GP,M,15,3,4,other,other,father,no
516,GP,F,15,1,2,at_home,services,mother,no
517,GP,M,15,2,2,services,services,father,yes
518,GP,F,16,2,4,other,health,father,yes
519,GP,M,16,4,4,health,other,mother,yes
520,GP,F,16,2,2,other,other,mother,no
521,GP,M,15,3,4,services,services,father,no
