student,school,sex,age,Medu,Fedu,Mjob,Fjob,guardian,famsup
522,GP,F,15,3,4,other,other,mother,no
523,GP,F,19,0,1,at_home,other,other,yes
524,GP,M,16,4,4,teacher,teacher,mother,no
525,GP,M,16,2,3,other,other,mother,yes
526,GP,F,15,3,4,services,teacher,father,yes
527,GP,F,18,2,1,services,other,mother,yes
528,GP,F,17,2,1,other,other,mother,yes
529,GP,F,15,1,1,at_home,other,mother,yes
530,GP,F,17,2,2,other,other,father,yes
531,GP,F,16,3,4,services,other,father,no
532,GP,M,16,2,1,at_home,other,mother,no
533,GP,F,16,2,2,other,other,mother,no
534,GP,M,15,3,4,at_home,teacher,mother,yes
535,GP,F,15,4,4,services,at_home,mother,yes
536,GP,M,17,3,4,at_home,other,mother,no
537,GP,F,16,1,1,at_home,other,mother,yes
538,GP,M,18,3,1,services,services,mother,no
539,GP,F,18,3,2,other,services,other,yes
540,GP,F,16,1,1,other,services,mother,yes
541,GP,F,16,3,3,other,other,other,yes
542,GP,M,16,1,1,services,other,mother,no
543,GP,F,15,4,4,teacher,teacher,mother,no
544,GP,F,15,1,1,other,other,mother,no
545,GP,M,15,4,3,teacher,services,father,yes
546,GP,F,15,3,3,services,services,mother,no
547,GP,M,16,4,4,services,services,mother,yes
548,GP,M,16,2,2,services,services,father,yes
549,GP,F,15,4,4,teacher,services,mother,yes
550,GP,F,16,1,1,at_home,at_home,mother,no
551,GP,M,17,2,1,other,other,mother,yes
552,GP,F,15,1,1,other,services,father,yes
553,GP,F,15,2,1,at_home,other,mother,yes
554,GP,F,15,3,2,health,services,father,yes
555,GP,F,15,1,2,at_home,other,mother,yes
556,GP,F,15,1,2,at_home,services,father,no
557,GP,M,16,4,4,teacher,teacher,mother,yes
558,GP,M,15,2,1,services,other,mother,no
559,GP,M,18,1,1,other,other,mother,no
560,GP,M,16,2,1,at_home,other,mother,no
561,GP,F,15,3,3,services,services,other,yes
562,GP,M,19,3,2,services,at_home,mother,yes
563,GP,F,17,4,4,other,teacher,mother,yes
564,GP,M,15,2,3,at_home,services,mother,no
565,GP,M,17,1,2,other,other,mother,no
566,GP,F,18,1,1,at_home,other,mother,yes
567,GP,M,16,2,2,at_home,other,mother,no
568,GP,M,16,3,3,other,services,father,yes
569,GP,M,16,1,2,health,services,mother,no
570,GP,M,17,2,1,at_home,other,mother,no
571,GP,M,17,3,2,other,other,mother,yes
572,GP,M,15,1,2,other,other,mother,no
573,GP,M,16,1,3,at_home,services,father,no
574,GP,M,17,1,1,other,services,mother,no
575,GP,M,17,3,2,services,services,mother,yes
576,GP,M,16,2,2,other,other,father,no
577,GP,F,16,4,2,health,services,father,no
578,GP,F,16,2,2,other,other,mother,yes
579,GP,F,16,4,4,health,health,mother,yes
580,GP,M,16,3,4,other,other,father,yes
581,GP,M,16,1,0,other,other,mother,yes
582,GP,M,17,4,4,teacher,other,mother,yes
583,GP,F,16,1,3,at_home,services,mother,no
584,GP,F,16,3,3,other,other,mother,yes
585,GP,M,17,4,3,teacher,other,mother,no
586,GP,F,16,2,2,services,other,mother,no
587,GP,M,17,3,3,other,other,father,no
588,GP,M,16,4,2,teacher,services,mother,yes
589,GP,M,17,4,3,other,other,mother,yes
590,GP,M,16,4,3,teacher,other,mother,yes
591,GP,M,16,3,3,services,other,mother,no
592,GP,F,17,2,4,services,services,father,yes
593,GP,F,17,3,3,other,other,mother,yes
594,GP,F,16,3,2,other,other,mother,yes
595,GP,M,17,3,3,services,services,mother,yes
596,GP,M,16,1,2,services,services,mother,yes
597,GP,M,16,2,1,other,other,mother,no
598,GP,F,17,3,3,health,other,mother,yes
599,GP,M,17,1,2,at_home,other,mother,no
600,GP,F,16,2,3,services,services,mother,no
601,GP,F,17,1,1,at_home,services,mother,no
602,GP,M,17,1,2,at_home,services,other,no
603,GP,M,16,3,3,services,services,mother,yes
604,GP,M,16,2,3,other,other,father,no
605,GP,F,17,2,4,services,services,father,no
606,GP,M,17,4,4,services,teacher,mother,no
607,GP,M,16,3,3,teacher,other,father,yes
608,GP,F,17,4,4,services,teacher,mother,yes
609,GP,F,16,4,4,teacher,teacher,mother,yes
610,GP,F,16,4,3,health,other,mother,yes
611,GP,F,16,2,3,other,other,mother,yes
612,GP,F,17,1,1,other,other,mother,yes
613,GP,F,17,2,2,other,other,mother,yes
614,GP,F,16,2,2,services,services,mother,yes
615,GP,F,17,3,4,at_home,services,mother,yes
616,GP,F,16,3,1,services,other,mother,yes
617,GP,F,16,4,3,teacher,other,mother,no
618,GP,F,16,1,1,at_home,other,mother,yes
619,GP,F,17,4,3,teacher,other,mother,yes
620,GP,F,19,3,3,other,other,other,yes
621,GP,M,17,4,4,services,other,mother,yes
622,GP,F,16,2,2,other,other,mother,yes
623,GP,M,18,2,2,services,other,mother,yes
624,GP,F,17,4,4,services,other,mother,yes
625,GP,F,17,3,2,other,other,mother,no
626,GP,F,17,4,3,other,other,mother,no
627,GP,M,18,3,3,services,health,father,yes
628,GP,F,17,2,3,at_home,other,father,yes
629,GP,F,17,2,2,at_home,at_home,mother,yes
630,GP,F,17,2,1,at_home,services,mother,yes
631,GP,F,17,1,1,at_home,other,mother,yes
632,GP,F,16,2,3,services,teacher,mother,no
633,GP,M,18,2,2,other,other,mother,yes
634,GP,F,16,4,4,teacher,services,mother,yes
635,GP,F,18,3,1,other,other,mother,no
636,GP,F,17,3,2,other,other,mother,no
637,GP,M,17,2,3,services,services,father,yes
638,GP,M,18,2,1,at_home,other,mother,yes
639,GP,F,17,2,1,other,other,mother,no
640,GP,F,17,4,3,health,other,father,no
641,GP,M,17,2,2,other,other,father,yes
642,GP,M,17,4,4,teacher,teacher,mother,yes
643,GP,M,16,4,4,health,other,father,yes
644,GP,M,16,1,1,other,other,mother,yes
645,GP,M,16,3,2,at_home,other,mother,no
646,GP,M,17,2,2,other,other,father,no
647,GP,F,16,2,1,other,other,mother,no
648,GP,F,16,4,1,other,other,mother,no
649,GP,F,18,2,4,services,other,mother,yes
650,GP,F,18,2,2,at_home,services,mother,yes
651,GP,F,18,3,3,other,other,mother,no
652,GP,M,18,2,2,other,at_home,other,yes
653,GP,M,17,4,4,teacher,teacher,mother,yes
654,GP,F,17,3,2,other,other,father,no
655,GP,F,17,1,1,at_home,at_home,mother,yes
656,GP,F,16,1,2,other,other,mother,no
657,GP,F,17,2,1,at_home,services,mother,no
658,GP,F,17,1,4,other,other,other,yes
659,GP,M,18,2,2,other,services,father,no
660,GP,F,17,2,2,other,other,mother,yes
661,GP,F,17,1,1,at_home,other,mother,no
662,GP,F,17,4,2,teacher,other,mother,yes
663,GP,M,17,4,3,health,other,mother,no
664,GP,M,17,4,4,teacher,other,mother,yes
665,GP,M,16,4,3,teacher,other,mother,no
666,GP,M,16,4,4,services,services,mother,no
667,GP,F,17,4,4,teacher,services,mother,yes
668,GP,M,17,1,1,other,other,father,no
669,GP,F,17,3,3,services,other,mother,yes
670,GP,F,17,1,1,at_home,other,mother,no
671,GP,F,18,2,1,other,other,other,yes
672,GP,M,16,2,1,other,other,mother,no
673,GP,F,17,1,1,other,services,father,yes
674,GP,M,17,2,3,other,other,father,no
675,GP,M,22,3,1,services,services,mother,no
676,GP,M,18,3,3,other,services,mother,yes
677,GP,M,16,0,2,other,other,mother,no
678,GP,M,18,3,2,services,other,mother,no
679,GP,M,16,3,3,at_home,other,other,yes
680,GP,M,18,2,1,services,services,mother,no
681,GP,M,16,2,1,other,other,mother,no
682,GP,M,17,2,1,other,other,mother,no
683,GP,M,17,1,1,health,other,mother,yes
684,GP,F,18,2,1,other,other,mother,yes
685,GP,F,17,4,2,teacher,services,mother,yes
686,GP,F,19,2,2,services,services,mother,yes
687,GP,M,18,2,1,services,other,mother,no
688,GP,F,17,4,2,other,other,mother,yes
689,GP,F,18,1,1,other,at_home,mother,yes
690,GP,F,18,2,2,other,other,mother,no
691,GP,M,19,4,3,services,at_home,mother,yes
692,GP,M,18,2,1,other,other,mother,no
693,GP,M,17,2,2,other,services,mother,no
694,GP,F,17,2,2,services,services,father,no
695,GP,F,20,2,1,other,other,other,yes
696,GP,F,18,4,3,services,other,father,yes
697,GP,M,18,4,3,teacher,other,mother,yes
698,GP,M,18,3,2,other,other,mother,no
699,GP,F,17,3,3,other,other,mother,no
700,GP,F,18,2,2,at_home,services,mother,yes
701,GP,M,17,2,2,other,other,father,no
702,GP,M,18,3,4,other,other,mother,yes
703,GP,M,17,3,1,services,other,mother,no
704,GP,F,18,4,4,teacher,other,mother,no
705,GP,M,18,4,2,health,other,father,yes
706,GP,F,18,2,1,other,other,mother,yes
707,GP,F,19,3,3,other,services,other,yes
708,GP,F,18,2,3,other,services,father,yes
709,GP,F,18,1,1,other,other,mother,yes
710,GP,M,17,1,2,at_home,at_home,mother,yes
711,GP,F,18,2,1,other,other,mother,yes
712,GP,F,17,2,4,at_home,health,mother,yes
713,GP,F,17,2,2,services,other,mother,yes
714,GP,F,18,3,2,other,services,mother,no
715,GP,M,18,4,4,teacher,services,mother,no
716,GP,F,18,4,4,health,health,father,yes
717,GP,F,17,2,2,other,services,father,yes
718,GP,F,19,3,2,services,services,father,yes
719,GP,M,18,4,3,teacher,services,mother,no
720,GP,M,18,1,2,at_home,other,other,no
721,GP,M,17,4,1,services,other,mother,no
722,GP,M,17,3,2,teacher,services,mother,no
723,GP,F,18,1,1,at_home,other,mother,yes
724,GP,F,18,1,1,other,other,mother,no
725,GP,F,17,2,2,other,other,mother,yes
726,GP,F,18,2,1,other,other,mother,no
727,GP,M,17,1,1,other,other,father,no
728,GP,F,18,2,2,at_home,at_home,mother,yes
729,GP,F,17,1,1,services,teacher,mother,yes
730,GP,M,18,2,1,services,services,mother,no
731,GP,M,18,4,4,teacher,teacher,mother,yes
732,GP,M,18,4,2,teacher,other,mother,yes
733,GP,F,17,4,3,health,services,mother,yes
734,GP,F,17,3,1,services,other,mother,yes
735,GP,M,18,3,2,services,other,mother,yes
736,GP,M,17,3,3,health,other,mother,yes
737,GP,F,19,4,4,health,other,other,yes
738,GP,F,18,4,3,other,other,other,yes
739,GP,F,18,4,3,other,other,father,yes
740,GP,M,18,4,4,teacher,teacher,mother,yes
741,GP,F,18,4,4,health,other,mother,yes
742,GP,M,17,4,4,other,teacher,father,no
743,GP,F,17,4,4,services,services,mother,yes
744,GP,F,17,4,2,other,other,mother,yes
745,GP,F,17,3,2,health,health,father,yes
746,GP,M,19,2,1,at_home,services,mother,no
747,GP,M,20,3,2,services,other,other,no
748,GP,M,19,3,3,other,services,father,no
749,GP,F,18,1,4,other,teacher,mother,yes
750,GP,F,18,2,1,services,other,mother,yes
751,GP,F,17,2,3,other,other,father,no
752,GP,F,17,4,4,teacher,teacher,mother,no
753,GP,F,18,4,3,other,other,mother,yes
754,GP,F,18,4,3,health,services,mother,yes
755,GP,F,17,3,4,at_home,services,father,yes
756,GP,F,18,3,3,at_home,other,father,yes
757,GP,M,19,4,2,health,other,mother,yes
758,GP,F,18,4,4,teacher,other,mother,yes
759,GP,F,18,3,4,other,other,mother,yes
760,GP,F,17,4,4,health,health,mother,no
761,GP,F,17,4,3,services,services,mother,yes
762,GP,F,17,3,3,services,other,mother,yes
763,GP,F,17,2,1,other,other,father,no
764,GP,M,18,4,4,other,other,father,yes
765,GP,F,19,1,1,other,other,other,no
766,GP,F,19,1,1,other,other,other,yes
767,GP,F,18,2,2,other,other,mother,yes
768,GP,F,17,2,2,other,other,mother,yes
769,GP,F,17,2,2,services,services,mother,yes
770,GP,F,17,3,1,services,services,father,yes
771,GP,F,17,0,2,at_home,at_home,father,no
772,GP,F,18,1,1,other,other,mother,no
773,GP,M,18,4,4,other,other,mother,no
774,GP,M,17,3,3,other,services,mother,no
775,GP,M,17,2,2,services,other,mother,yes
776,GP,F,17,4,4,teacher,services,mother,yes
777,GP,F,17,4,4,teacher,teacher,mother,yes
778,GP,F,17,3,3,at_home,other,mother,yes
779,GP,M,18,2,2,other,other,mother,yes
780,GP,M,19,3,2,at_home,services,other,yes
781,GP,F,18,2,2,at_home,other,mother,no
782,GP,F,17,2,4,at_home,other,father,yes
783,GP,M,18,2,2,other,other,mother,no
784,GP,F,18,3,3,services,services,mother,no
785,GP,F,18,2,2,other,other,other,no
786,GP,F,18,2,2,at_home,other,mother,no
787,GP,F,17,3,4,services,other,mother,no
788,GP,F,17,3,2,other,other,mother,yes
789,GP,F,18,3,3,services,services,mother,yes
790,GP,F,17,3,2,other,other,mother,yes
791,GP,M,18,4,4,teacher,services,father,yes
792,GP,M,18,3,4,services,other,mother,no
793,GP,F,17,2,2,at_home,at_home,father,yes
794,GP,F,18,2,3,at_home,other,mother,yes
795,GP,F,18,3,2,other,services,mother,no
796,GP,M,18,4,3,teacher,services,mother,no
797,GP,M,18,4,3,teacher,other,mother,yes
798,GP,F,17,4,3,health,other,mother,yes
799,GP,F,17,2,1,services,other,mother,yes
800,GP,F,17,2,1,services,other,mother,yes
801,GP,F,19,2,3,at_home,other,other,no
802,GP,F,17,3,1,other,at_home,mother,yes
803,GP,F,21,4,4,other,other,other,no
804,GP,M,18,2,2,services,services,mother,yes
805,GP,M,18,3,4,other,other,other,no
806,GP,F,17,2,2,services,services,mother,yes
807,GP,M,17,4,4,health,other,mother,yes
808,GP,F,18,4,2,teacher,other,mother,yes
809,GP,M,21,1,1,at_home,other,other,yes
810,GP,F,20,1,1,other,other,other,no
811,GP,F,19,4,4,teacher,other,other,yes
812,GP,M,17,3,2,other,other,mother,yes
813,GP,F,18,3,2,at_home,other,father,yes
814,GP,M,18,2,3,other,services,father,no
815,GP,M,19,2,1,other,other,mother,no
816,GP,F,18,2,2,services,other,mother,yes
817,GP,F,20,1,0,other,other,mother,no
818,GP,F,18,3,2,services,other,mother,yes
819,MS,F,16,1,3,at_home,other,father,yes
820,MS,F,16,2,2,other,other,mother,yes
821,MS,F,15,1,1,at_home,services,mother,yes
822,MS,F,15,3,3,at_home,other,mother,yes
823,MS,F,16,2,3,at_home,services,mother,no
824,MS,F,15,2,1,at_home,other,mother,no
825,MS,M,16,4,4,at_home,other,mother,yes
826,MS,M,16,1,2,other,other,mother,no
827,MS,F,17,3,2,at_home,other,father,no
828,MS,F,17,1,1,other,other,father,yes
829,MS,F,15,4,4,teacher,other,mother,no
830,MS,F,16,2,2,at_home,other,mother,no
831,MS,F,15,1,1,at_home,services,father,yes
832,MS,F,15,1,1,other,services,mother,yes
833,MS,F,16,0,2,other,other,mother,yes
834,MS,F,17,2,3,other,other,mother,yes
835,MS,F,15,3,3,other,services,father,no
836,MS,M,16,1,1,at_home,services,mother,yes
837,MS,M,17,1,1,other,other,mother,no
838,MS,M,15,4,1,health,services,father,yes
839,MS,M,15,4,1,health,services,father,yes
840,MS,M,16,3,4,other,health,mother,no
841,MS,M,15,1,1,other,other,mother,yes
842,MS,M,15,3,3,at_home,at_home,father,yes
843,MS,M,17,2,1,other,other,mother,no
844,MS,F,16,4,4,teacher,teacher,mother,no
845,MS,F,15,1,2,other,services,mother,no
846,MS,F,16,2,3,other,services,mother,yes
847,MS,M,16,1,2,other,other,father,no
848,MS,F,16,2,2,other,other,mother,yes
849,MS,F,16,1,2,other,services,mother,yes
850,MS,F,16,1,2,other,services,mother,yes
851,MS,F,15,2,1,at_home,other,mother,yes
852,MS,F,16,1,1,at_home,other,father,yes
853,MS,M,17,1,2,at_home,services,mother,yes
854,MS,F,16,1,1,other,other,father,yes
855,MS,F,16,1,1,at_home,other,father,yes
856,MS,F,15,1,1,at_home,other,father,yes
857,MS,F,16,1,1,at_home,other,mother,no
858,MS,F,15,1,1,at_home,at_home,father,yes
859,MS,F,15,2,2,other,other,father,yes
860,MS,M,16,1,1,at_home,other,father,no
861,MS,F,18,1,2,other,other,father,yes
862,MS,M,15,3,1,other,services,mother,yes
863,MS,F,16,2,2,other,services,father,yes
864,MS,M,15,2,2,health,other,mother,no
865,MS,M,16,4,4,other,teacher,father,yes
866,MS,F,15,3,3,services,other,mother,yes
867,MS,F,16,2,2,at_home,other,mother,yes
868,MS,F,16,2,2,other,other,father,yes
869,MS,M,16,2,1,at_home,services,mother,yes
870,MS,M,15,1,3,at_home,other,father,yes
871,MS,F,15,2,2,other,services,mother,yes
872,MS,F,16,2,1,other,other,mother,yes
873,MS,M,15,3,3,services,services,father,yes
874,MS,F,16,1,1,at_home,other,father,yes
875,MS,F,17,2,2,other,at_home,mother,yes
876,MS,F,19,2,3,at_home,services,other,no
877,MS,F,17,2,1,at_home,other,mother,yes
878,MS,F,15,1,1,at_home,other,mother,yes
879,MS,F,16,2,2,other,other,father,yes
880,MS,F,16,2,2,other,other,mother,yes
881,MS,F,17,2,2,at_home,other,mother,yes
882,MS,F,16,2,2,other,services,father,yes
883,MS,F,18,3,2,other,other,other,yes
884,MS,F,19,1,1,at_home,services,mother,no
885,MS,M,18,1,1,other,other,mother,no
886,MS,F,18,1,1,at_home,at_home,mother,no
887,MS,F,19,1,1,other,other,other,yes
888,MS,F,16,2,2,health,other,mother,no
889,MS,F,17,0,1,other,at_home,father,no
890,MS,F,16,1,2,at_home,other,mother,no
891,MS,F,16,3,3,other,other,mother,no
892,MS,F,16,1,1,services,services,mother,yes
893,MS,M,17,3,3,services,at_home,mother,yes
894,MS,F,16,2,1,other,services,mother,yes
895,MS,F,16,2,2,services,other,mother,yes
896,MS,M,17,1,2,other,other,father,yes
897,MS,M,16,4,3,other,other,father,no
898,MS,M,17,2,2,services,services,mother,yes
899,MS,F,16,1,1,other,other,other,yes
900,MS,F,19,2,2,other,other,mother,no
901,MS,F,17,1,1,at_home,other,mother,yes
902,MS,F,20,3,3,at_home,services,mother,no
903,MS,F,17,1,1,other,services,father,yes
904,MS,M,17,2,2,other,other,mother,yes
905,MS,F,16,1,1,at_home,other,father,yes
906,MS,F,17,2,2,other,other,mother,yes
907,MS,F,17,1,0,other,other,mother,no
908,MS,F,18,1,1,at_home,other,mother,yes
909,MS,F,16,3,1,other,other,mother,no
910,MS,F,16,3,2,services,at_home,mother,no
911,MS,F,18,1,1,other,at_home,mother,no
912,MS,F,16,4,4,health,teacher,father,no
913,MS,F,16,1,2,other,other,mother,no
914,MS,F,18,2,4,other,services,father,yes
915,MS,M,16,2,1,other,services,mother,no
916,MS,F,16,1,1,at_home,other,mother,yes
917,MS,F,16,2,3,at_home,services,mother,yes
918,MS,F,16,4,4,health,health,mother,yes
919,MS,M,18,4,4,at_home,health,mother,yes
920,MS,F,16,3,4,at_home,other,mother,yes
921,MS,M,17,4,4,other,services,mother,yes
922,MS,F,17,4,1,other,other,mother,no
923,MS,M,16,2,2,services,services,mother,no
924,MS,F,17,2,2,at_home,other,mother,yes
925,MS,F,16,4,4,services,services,father,yes
926,MS,M,17,3,3,services,services,mother,yes
927,MS,M,17,1,1,at_home,services,mother,no
928,MS,M,16,2,1,health,services,mother,no
929,MS,F,16,2,1,other,services,mother,no
930,MS,M,16,4,4,teacher,health,father,yes
931,MS,M,15,1,2,other,services,mother,yes
932,MS,M,15,2,2,other,other,mother,yes
933,MS,M,15,2,1,services,services,mother,no
934,MS,F,16,2,2,other,other,mother,yes
935,MS,F,16,4,1,other,other,mother,yes
936,MS,F,17,3,2,at_home,other,mother,no
937,MS,F,17,2,2,other,other,mother,no
938,MS,F,16,4,4,teacher,services,mother,yes
939,MS,M,17,4,4,health,other,father,no
940,MS,M,17,1,3,other,other,father,no
941,MS,M,17,3,4,services,other,mother,yes
942,MS,F,17,4,4,health,health,father,yes
943,MS,M,16,4,1,other,at_home,father,no
944,MS,F,17,1,1,at_home,at_home,mother,no
945,MS,F,17,4,2,other,other,mother,yes
946,MS,M,16,2,2,other,services,father,yes
947,MS,M,17,3,2,other,other,father,yes
948,MS,M,19,1,1,other,other,mother,yes
949,MS,M,17,1,0,other,other,mother,no
950,MS,F,17,1,1,at_home,at_home,father,yes
951,MS,F,16,1,2,other,other,father,yes
952,MS,M,16,1,2,other,at_home,mother,no
953,MS,F,17,3,1,other,other,mother,yes
954,MS,M,17,2,2,other,other,mother,no
955,MS,M,18,1,0,at_home,at_home,other,yes
956,MS,M,17,1,1,other,services,mother,yes
957,MS,M,18,1,1,at_home,at_home,mother,yes
958,MS,F,16,2,2,other,services,father,no
959,MS,M,17,2,2,other,other,mother,no
960,MS,M,16,3,2,services,other,father,no
961,MS,M,16,1,1,at_home,other,mother,no
962,MS,M,18,1,1,services,other,other,yes
963,MS,M,18,3,2,services,other,mother,no
964,MS,M,19,3,2,at_home,services,mother,no
965,MS,M,18,3,3,at_home,at_home,mother,yes
966,MS,M,16,2,2,services,services,mother,yes
967,MS,M,19,2,1,at_home,other,other,no
968,MS,F,16,3,2,services,at_home,mother,yes
969,MS,F,17,1,1,other,at_home,mother,yes
970,MS,M,20,1,1,other,other,other,yes
971,MS,F,18,4,3,services,services,mother,yes
972,MS,M,18,3,2,other,other,mother,yes
973,MS,M,19,1,1,other,services,other,no
974,MS,M,17,3,3,health,other,mother,yes
975,MS,M,18,1,3,at_home,services,mother,no
976,MS,M,19,1,1,other,other,other,yes
977,MS,F,18,1,2,at_home,other,mother,yes
978,MS,F,19,1,1,at_home,other,mother,yes
979,MS,F,18,2,2,other,other,mother,no
980,MS,F,17,0,0,at_home,other,mother,yes
981,MS,F,17,3,1,other,at_home,other,yes
982,MS,F,17,4,2,teacher,services,mother,yes
983,MS,F,18,2,2,services,services,mother,yes
984,MS,F,17,4,1,health,at_home,mother,yes
985,MS,F,17,1,2,at_home,other,father,no
986,MS,F,18,1,1,other,other,mother,no
987,MS,F,18,2,2,services,at_home,father,no
988,MS,F,17,3,3,services,services,mother,yes
989,MS,F,18,1,2,at_home,other,mother,no
990,MS,F,18,4,4,teacher,teacher,mother,no
991,MS,M,18,4,4,services,other,mother,yes
992,MS,F,17,4,2,other,other,mother,yes
993,MS,F,18,2,2,at_home,other,mother,no
994,MS,M,18,1,2,at_home,services,mother,yes
995,MS,M,18,4,4,at_home,services,mother,yes
996,MS,M,17,1,1,other,services,father,no
997,MS,F,18,2,2,other,other,mother,yes
998,MS,F,18,2,2,services,services,father,no
999,MS,F,18,4,2,teacher,other,mother,no
1000,MS,F,18,1,1,at_home,services,mother,no
1001,MS,F,19,1,1,at_home,services,father,no
1002,MS,F,17,4,2,teacher,other,father,no
1003,MS,F,17,2,1,services,other,mother,no
1004,MS,F,18,1,1,at_home,services,mother,no
1005,MS,F,18,1,2,at_home,at_home,father,yes
1006,MS,F,19,1,1,at_home,at_home,other,yes
1007,MS,F,18,2,2,services,other,mother,no
1008,MS,M,17,4,3,services,other,mother,yes
1009,MS,F,18,3,3,services,services,father,yes
1010,MS,F,17,4,4,teacher,services,father,yes
1011,MS,F,17,3,2,services,other,mother,no
1012,MS,M,18,1,1,other,services,father,no
1013,MS,F,18,1,1,at_home,services,father,no
1014,MS,F,18,1,2,at_home,other,mother,no
1015,MS,F,18,3,3,services,services,mother,yes
1016,MS,F,17,4,4,at_home,at_home,mother,yes
1017,MS,F,17,1,2,other,services,father,no
1018,MS,M,18,1,3,at_home,other,mother,yes
1019,MS,M,18,4,4,teacher,services,mother,no
1020,MS,F,17,1,1,other,services,mother,yes
1021,MS,F,18,2,3,at_home,services,father,yes
1022,MS,F,18,4,4,other,teacher,father,yes
1023,MS,M,18,1,2,at_home,services,father,yes
1024,MS,F,17,2,2,other,at_home,mother,no
1025,MS,F,17,1,2,other,other,mother,no
1026,MS,F,18,4,4,other,other,mother,no
1027,MS,F,18,1,1,other,other,mother,no
1028,MS,F,19,1,1,at_home,other,other,yes
1029,MS,F,18,4,4,teacher,services,mother,no
1030,MS,F,18,3,3,other,other,mother,no
1031,MS,F,17,3,1,at_home,other,mother,yes
1032,MS,M,18,4,4,teacher,teacher,father,no
1033,MS,M,18,2,1,other,other,mother,no
1034,MS,M,17,2,3,other,services,father,no
1035,MS,M,19,1,1,other,services,mother,no
1036,MS,M,18,4,2,other,other,father,no
1037,MS,F,18,2,2,at_home,other,mother,no
1038,MS,F,17,4,3,teacher,other,mother,no
1039,MS,F,18,4,4,teacher,at_home,mother,yes
1040,MS,F,19,2,3,services,other,mother,no
1041,MS,F,18,3,1,teacher,services,mother,yes
1042,MS,F,18,1,1,other,other,mother,no
1043,MS,M,17,3,1,services,services,mother,no
1044,MS,M,18,3,2,services,other,mother,no
