student,age,studytime,activities,internet,romantic,freetime,goout
524,16,1,yes,yes,no,5,5
525,16,3,no,yes,yes,2,3
526,15,3,no,yes,yes,2,2
527,18,2,yes,yes,yes,4,5
528,17,1,no,yes,no,2,2
529,15,1,yes,yes,yes,3,3
530,17,1,no,yes,yes,4,4
531,16,1,no,yes,no,2,1
532,16,1,no,no,no,2,1
533,16,1,no,no,no,3,4
534,15,2,no,no,yes,3,3
535,15,3,yes,yes,yes,3,3
536,17,2,no,no,no,4,5
537,16,2,no,no,no,1,3
538,18,1,yes,yes,yes,3,4
539,18,3,yes,yes,yes,3,3
540,16,1,yes,no,yes,3,3
541,16,1,yes,yes,yes,3,2
542,16,2,no,no,yes,4,4
543,15,1,yes,yes,no,3,2
544,15,1,yes,yes,yes,5,5
545,15,4,no,yes,no,2,2
546,15,2,no,no,yes,3,2
547,16,3,yes,yes,no,3,3
548,16,1,yes,yes,no,3,3
549,15,3,yes,yes,no,2,2
550,16,1,no,yes,no,4,4
551,17,1,no,yes,no,4,5
552,15,2,no,yes,no,4,2
553,15,1,yes,yes,yes,4,2
554,15,2,no,yes,no,3,2
555,15,2,no,yes,no,3,2
556,15,2,no,no,yes,3,4
557,16,1,no,yes,yes,3,2
558,15,1,no,yes,no,5,5
559,18,1,no,yes,yes,3,5
560,16,1,yes,no,yes,4,4
561,15,3,yes,yes,yes,2,1
562,19,1,no,yes,yes,5,4
563,17,1,no,no,yes,2,1
564,15,2,yes,no,no,4,4
565,17,1,no,no,no,2,2
566,18,1,yes,no,no,2,5
567,16,1,no,no,no,2,2
568,16,2,no,yes,yes,5,5
569,16,1,no,yes,no,4,5
570,17,1,yes,yes,yes,3,2
571,17,2,no,yes,yes,4,4
572,15,1,yes,no,no,4,4
573,16,1,no,yes,no,3,3
574,17,2,yes,no,yes,3,5
575,17,1,yes,no,no,5,2
576,16,2,no,yes,no,3,5
577,16,2,no,yes,yes,2,3
578,16,2,no,yes,no,1,5
579,16,2,no,yes,yes,4,2
580,16,1,yes,yes,no,4,5
581,16,2,yes,yes,yes,3,2
582,17,2,yes,yes,no,4,4
583,16,2,yes,yes,yes,3,5
584,16,2,yes,yes,no,4,5
585,17,2,yes,yes,no,4,4
586,16,2,yes,yes,no,4,4
587,17,2,yes,yes,no,3,4
588,16,1,yes,yes,yes,3,3
589,17,2,yes,yes,yes,2,3
590,16,2,yes,yes,no,4,3
591,16,2,yes,yes,yes,2,3
592,17,2,yes,no,no,4,2
593,17,2,yes,yes,yes,3,3
594,16,2,no,yes,no,2,2
595,17,2,yes,yes,yes,3,4
596,16,1,yes,yes,yes,3,3
597,16,2,yes,yes,yes,2,3
598,17,2,no,yes,yes,3,3
599,17,2,no,no,no,1,3
600,16,2,no,yes,no,3,3
601,17,2,yes,yes,no,3,3
602,17,2,yes,yes,no,4,4
603,16,1,yes,yes,no,3,2
604,16,1,no,yes,no,3,3
605,17,2,yes,yes,yes,3,2
606,17,1,no,yes,no,2,3
607,16,1,yes,yes,no,3,4
608,17,1,no,yes,no,2,4
609,16,2,no,yes,no,5,2
610,16,2,yes,yes,no,3,5
611,16,2,yes,no,no,4,3
612,17,2,no,no,no,4,4
613,17,1,no,yes,no,3,2
614,16,4,yes,yes,no,3,5
615,17,3,no,yes,yes,4,3
616,16,2,no,yes,no,3,3
617,16,2,yes,yes,yes,3,2
618,16,1,no,no,no,3,2
619,17,3,yes,yes,yes,4,2
620,19,4,yes,yes,no,3,3
621,17,2,no,yes,yes,3,5
622,16,2,no,yes,no,3,4
623,18,2,yes,yes,no,4,4
624,17,1,no,no,no,2,1
625,17,2,no,yes,no,4,4
626,17,2,no,yes,yes,4,5
627,18,2,no,yes,no,2,4
628,17,1,no,no,no,3,3
629,17,3,yes,yes,no,3,3
630,17,2,yes,yes,no,2,5
631,17,3,yes,no,yes,3,4
632,16,2,no,yes,no,3,1
633,18,2,no,yes,no,3,3
634,16,3,yes,yes,no,3,2
635,18,2,yes,yes,yes,3,3
636,17,2,yes,yes,no,3,4
637,17,2,no,yes,no,3,3
638,18,2,yes,yes,yes,3,2
639,17,3,yes,yes,yes,2,3
640,17,2,yes,yes,yes,2,3
641,17,2,yes,yes,no,5,2
642,17,2,yes,yes,yes,5,5
643,16,2,yes,yes,no,2,4
644,16,2,no,yes,no,4,2
645,16,3,yes,yes,yes,3,3
646,17,2,yes,yes,yes,4,2
647,16,1,no,yes,yes,5,2
648,16,2,yes,yes,yes,3,3
649,18,2,no,yes,no,3,3
650,18,2,no,yes,yes,3,1
651,18,1,no,yes,no,1,1
652,18,1,yes,yes,yes,4,3
653,17,1,yes,yes,no,2,1
654,17,2,yes,no,no,4,2
655,17,3,yes,yes,yes,3,2
656,16,1,no,yes,no,3,5
657,17,2,yes,no,no,1,1
658,17,1,no,yes,no,5,4
659,18,2,no,yes,no,5,4
660,17,1,no,yes,no,1,2
661,17,3,yes,yes,no,3,3
662,17,2,yes,no,no,3,2
663,17,2,yes,yes,yes,5,5
664,17,2,no,yes,no,3,3
665,16,1,yes,yes,no,4,5
666,16,1,yes,yes,no,3,2
667,17,2,no,yes,yes,3,1
668,17,3,no,yes,yes,3,3
669,17,3,no,yes,yes,2,2
670,17,2,no,no,yes,3,2
671,18,3,no,yes,yes,4,4
672,16,1,no,yes,no,3,3
673,17,2,no,no,no,3,4
674,17,1,no,yes,no,2,2
675,22,1,no,yes,yes,4,5
676,18,2,no,yes,yes,3,3
677,16,1,no,yes,no,3,2
678,18,1,no,yes,no,4,5
679,16,2,no,yes,no,3,3
680,18,1,no,yes,no,2,5
681,16,1,yes,no,no,3,2
682,17,1,no,yes,no,4,2
683,17,1,yes,yes,no,4,4
684,18,2,no,yes,yes,3,4
685,17,4,yes,yes,no,2,3
686,19,2,no,yes,no,3,3
687,18,2,yes,yes,no,4,5
688,17,3,yes,yes,no,3,4
689,18,3,no,no,no,4,3
690,18,2,no,no,no,2,3
691,19,2,no,yes,no,3,1
692,18,2,yes,yes,no,2,4
693,17,1,no,no,no,2,2
694,17,4,yes,yes,yes,4,1
695,20,2,yes,yes,yes,2,3
696,18,2,no,yes,yes,1,2
697,18,2,no,yes,no,3,2
698,18,3,yes,no,no,3,2
699,17,3,yes,no,no,2,3
700,18,3,yes,yes,yes,3,3
701,17,1,no,yes,no,4,4
702,18,2,yes,yes,no,2,5
703,17,2,yes,yes,yes,4,4
704,18,2,yes,yes,no,3,4
705,18,2,yes,yes,yes,4,5
706,18,2,no,yes,yes,3,5
707,19,2,yes,yes,no,3,5
708,18,4,yes,yes,yes,5,5
709,18,2,no,no,no,4,3
710,17,2,yes,no,yes,5,2
711,18,2,no,yes,yes,2,5
712,17,2,no,yes,yes,3,3
713,17,2,no,yes,yes,4,4
714,18,2,no,yes,yes,1,1
715,18,1,yes,yes,no,2,4
716,18,2,yes,yes,yes,4,4
717,17,3,no,yes,yes,2,3
718,19,2,no,yes,no,3,3
719,18,1,yes,yes,no,2,3
720,18,1,no,yes,no,4,4
721,17,1,yes,yes,yes,5,4
722,17,1,no,yes,no,4,4
723,18,4,yes,no,no,2,2
724,18,2,yes,yes,no,4,4
725,17,2,no,yes,no,4,5
726,18,2,yes,yes,yes,3,1
727,17,2,no,yes,no,3,3
728,18,3,no,yes,no,3,3
729,17,3,no,yes,no,3,3
730,18,3,yes,yes,no,2,4
731,18,2,yes,yes,no,4,3
732,18,2,yes,yes,yes,3,2
733,17,3,no,yes,no,2,2
734,17,4,no,no,no,1,2
735,18,3,yes,yes,no,4,2
736,17,1,no,yes,no,4,3
737,19,2,yes,yes,no,3,4
738,18,2,no,yes,yes,4,5
739,18,4,no,yes,no,3,3
740,18,1,no,yes,yes,4,2
741,18,2,no,yes,yes,2,4
742,17,1,no,yes,no,1,1
743,17,3,yes,yes,no,3,4
744,17,3,no,yes,no,3,3
745,17,4,yes,yes,no,2,2
746,19,3,yes,yes,yes,3,1
747,20,1,yes,no,no,5,3
748,19,2,yes,no,yes,5,3
749,18,2,no,no,yes,4,4
750,18,2,yes,yes,no,3,3
751,17,2,yes,yes,yes,2,1
752,17,1,yes,yes,no,4,4
753,18,3,yes,yes,yes,3,4
754,18,1,no,yes,no,2,4
755,17,3,yes,yes,no,3,4
756,18,2,no,yes,no,1,4
757,19,2,yes,yes,yes,4,4
758,18,2,no,yes,no,4,4
759,18,1,yes,yes,yes,4,4
760,17,1,yes,yes,no,3,4
761,17,2,no,yes,yes,2,2
762,17,2,no,yes,no,3,3
763,17,2,yes,yes,no,2,3
764,18,1,no,yes,no,2,5
765,19,3,yes,no,yes,5,5
766,19,2,no,yes,yes,3,4
767,18,1,yes,yes,yes,3,5
768,17,2,no,no,yes,2,2
769,17,3,yes,yes,no,3,2
770,17,3,no,yes,no,4,3
771,17,3,no,yes,no,3,3
772,18,3,yes,yes,no,5,5
773,18,3,yes,yes,no,3,3
774,17,1,yes,yes,no,3,5
775,17,1,no,yes,no,4,5
776,17,3,yes,yes,no,4,4
777,17,3,no,yes,yes,3,3
778,17,1,yes,yes,no,2,5
779,18,4,yes,yes,no,5,5
780,19,1,no,no,yes,3,4
781,18,2,yes,no,yes,2,5
782,17,3,no,yes,yes,4,3
783,18,1,no,yes,no,4,2
784,18,2,yes,yes,no,3,4
785,18,2,yes,yes,yes,3,3
786,18,4,yes,no,no,4,4
787,17,3,no,yes,no,4,5
788,17,2,no,yes,yes,3,2
789,18,4,no,yes,no,3,3
790,17,2,no,yes,no,3,3
791,18,2,yes,yes,no,3,3
792,18,2,yes,yes,yes,3,3
793,17,2,no,yes,yes,3,1
794,18,3,no,yes,no,3,3
795,18,3,no,yes,yes,4,3
796,18,3,no,yes,yes,3,2
797,18,3,no,yes,yes,4,5
798,17,3,yes,yes,yes,4,3
799,17,2,yes,yes,yes,3,4
800,17,2,yes,yes,no,3,5
801,19,1,no,yes,no,2,3
802,17,1,no,yes,yes,1,2
803,21,3,yes,yes,no,3,2
804,18,2,yes,yes,no,4,4
805,18,2,yes,yes,yes,3,5
806,17,2,yes,yes,no,3,4
807,17,3,no,yes,no,4,2
808,18,2,yes,yes,no,2,2
809,21,2,yes,yes,yes,3,3
810,20,3,no,yes,yes,2,2
811,19,1,no,yes,yes,2,5
812,17,2,no,yes,no,4,4
813,18,3,no,yes,yes,3,4
814,18,1,no,yes,no,1,3
815,19,1,no,yes,no,3,4
816,18,2,no,yes,no,1,4
817,20,1,no,yes,yes,3,1
818,18,2,yes,yes,yes,1,2
819,16,1,no,yes,yes,3,3
820,16,2,yes,yes,no,4,4
821,15,1,no,no,yes,1,3
822,15,1,no,yes,no,4,4
823,16,2,no,no,no,5,2
824,15,1,no,no,no,3,4
825,16,2,no,no,no,3,2
826,16,3,no,yes,no,4,3
827,17,2,no,no,yes,5,4
828,17,1,no,yes,no,4,4
829,15,1,no,yes,yes,5,1
830,16,4,yes,no,yes,2,1
831,15,2,no,yes,no,4,3
832,15,1,no,yes,yes,4,3
833,16,1,yes,no,no,2,3
834,17,1,no,yes,no,5,5
835,15,1,no,yes,no,1,3
836,16,2,yes,no,yes,4,5
837,17,2,no,yes,no,4,3
838,15,2,yes,yes,no,3,4
839,15,2,yes,yes,no,3,4
840,16,2,no,no,no,4,5
841,15,2,yes,no,yes,4,5
842,15,2,yes,yes,no,3,3
843,17,1,yes,no,yes,5,5
844,16,3,yes,yes,yes,2,2
845,15,1,no,no,no,1,2
846,16,2,no,yes,no,5,4
847,16,2,no,no,no,3,3
848,16,2,no,yes,no,4,5
849,16,3,no,no,no,3,2
850,16,3,no,no,no,3,2
851,15,2,no,yes,no,4,2
852,16,2,no,no,yes,4,3
853,17,1,yes,yes,no,5,5
854,16,4,no,yes,no,3,2
855,16,3,no,no,no,4,3
856,15,2,yes,yes,no,3,3
857,16,1,yes,yes,yes,2,2
858,15,2,no,no,no,2,1
859,15,3,no,no,no,4,3
860,16,1,yes,no,no,4,4
861,18,2,yes,yes,yes,4,4
862,15,1,no,no,no,2,3
863,16,2,yes,yes,no,3,4
864,15,1,no,no,no,3,3
865,16,2,yes,no,yes,3,1
866,15,2,no,yes,yes,5,4
867,16,2,yes,no,no,4,4
868,16,1,yes,no,yes,3,2
869,16,1,yes,yes,no,4,3
870,15,1,yes,yes,no,2,4
871,15,3,yes,no,no,3,2
872,16,1,no,yes,yes,4,3
873,15,1,yes,yes,no,3,3
874,16,2,no,no,no,4,3
875,17,1,yes,no,no,5,3
876,19,1,no,yes,yes,4,4
877,17,1,yes,no,yes,5,3
878,15,1,no,no,yes,2,1
879,16,2,no,yes,no,4,5
880,16,1,no,no,no,3,4
881,17,2,no,yes,no,3,5
882,16,1,yes,yes,no,4,3
883,18,3,no,no,yes,3,2
884,19,3,yes,no,yes,3,1
885,18,1,yes,yes,no,4,3
886,18,1,no,yes,yes,2,3
887,19,2,no,yes,yes,1,4
888,16,2,no,no,yes,3,2
889,17,1,yes,no,no,4,4
890,16,2,yes,yes,no,4,5
891,16,1,yes,yes,yes,5,4
892,16,1,yes,yes,yes,4,4
893,17,4,yes,no,no,4,5
894,16,2,yes,yes,no,3,3
895,16,1,yes,no,yes,2,5
896,17,1,yes,yes,yes,3,5
897,16,1,yes,yes,no,2,5
898,17,4,no,no,no,3,5
899,16,4,yes,yes,no,2,1
900,19,3,no,yes,yes,4,5
901,17,1,yes,yes,yes,4,5
902,20,2,yes,yes,yes,3,4
903,17,3,no,no,yes,3,3
904,17,1,no,yes,no,4,5
905,16,2,no,no,no,3,2
906,17,2,yes,no,no,3,2
907,17,2,no,yes,yes,4,5
908,18,2,no,yes,yes,3,2
909,16,1,yes,yes,no,1,3
910,16,1,no,yes,no,1,3
911,18,2,no,no,no,3,5
912,16,2,yes,yes,yes,3,3
913,16,1,yes,yes,no,4,5
914,18,2,no,yes,no,3,2
915,16,2,yes,yes,no,2,1
916,16,2,no,yes,no,3,2
917,16,2,yes,yes,no,3,3
918,16,2,no,yes,yes,3,4
919,18,4,yes,yes,yes,5,5
920,16,2,no,no,no,2,1
921,17,3,no,yes,no,4,3
922,17,1,no,yes,yes,2,3
923,16,3,no,no,no,1,3
924,17,1,no,yes,no,1,3
925,16,1,no,no,no,1,3
926,17,1,yes,yes,no,1,4
927,17,2,no,yes,yes,1,3
928,16,2,no,yes,yes,2,2
929,16,2,no,yes,yes,2,2
930,16,1,no,yes,no,1,2
931,15,2,yes,no,no,5,5
932,15,4,yes,no,no,4,5
933,15,1,yes,yes,no,3,3
934,16,3,no,no,yes,3,3
935,16,2,yes,yes,no,2,4
936,17,1,no,no,yes,3,3
937,17,2,no,no,no,1,3
938,16,3,no,yes,yes,3,5
939,17,1,yes,yes,yes,3,3
940,17,1,yes,no,yes,1,2
941,17,2,yes,yes,yes,4,4
942,17,2,no,yes,no,2,5
943,16,1,no,yes,no,1,2
944,17,2,yes,yes,yes,5,5
945,17,2,no,yes,no,3,3
946,16,2,no,yes,yes,1,2
947,17,2,no,yes,no,1,2
948,19,2,yes,yes,no,4,3
949,17,1,no,no,yes,1,2
950,17,1,yes,yes,yes,5,5
951,16,3,no,yes,yes,3,4
952,16,1,no,no,no,4,4
953,17,2,yes,yes,yes,4,4
954,17,1,yes,no,yes,5,5
955,18,1,no,no,no,3,2
956,17,1,yes,yes,yes,5,5
957,18,2,yes,no,no,3,3
958,16,2,yes,no,yes,4,3
959,17,1,yes,no,yes,2,1
960,16,1,no,yes,no,5,5
961,16,1,yes,yes,no,5,5
962,18,1,no,yes,yes,3,3
963,18,1,no,yes,no,3,1
964,19,1,yes,no,no,2,1
965,18,2,yes,yes,no,4,5
966,16,1,yes,yes,yes,4,3
967,19,1,yes,yes,yes,4,3
968,16,2,yes,no,yes,5,5
969,17,1,yes,no,no,3,2
970,20,1,no,yes,yes,4,3
971,18,1,no,yes,no,4,4
972,18,1,no,yes,no,5,5
973,19,2,no,yes,no,4,4
974,17,2,no,yes,no,5,4
975,18,1,no,yes,yes,3,3
976,19,1,no,yes,no,4,4
977,18,2,no,no,no,3,3
978,19,1,no,no,no,4,4
979,18,1,no,yes,yes,5,5
980,17,1,no,yes,no,4,3
981,17,3,no,no,no,2,3
982,17,2,yes,yes,no,5,5
983,18,2,yes,yes,no,3,3
984,17,1,no,no,yes,2,2
985,17,1,no,yes,no,5,1
986,18,2,yes,no,yes,4,4
987,18,2,yes,yes,no,3,5
988,17,1,no,yes,no,4,3
989,18,2,no,yes,no,4,3
990,18,2,yes,yes,no,3,5
991,18,1,yes,yes,no,4,5
992,17,2,no,yes,no,3,3
993,18,2,yes,no,yes,3,3
994,18,1,no,no,no,1,4
995,18,1,yes,yes,yes,5,5
996,17,1,no,no,no,2,3
997,18,2,no,yes,yes,3,1
998,18,3,no,yes,yes,4,5
999,18,2,yes,yes,yes,3,1
1000,18,2,no,no,no,4,2
1001,19,1,no,no,no,5,5
1002,17,4,no,yes,yes,2,3
1003,17,2,yes,yes,yes,3,3
1004,18,2,no,no,yes,2,3
1005,18,2,no,no,no,1,1
1006,19,2,yes,no,yes,5,4
1007,18,3,no,yes,yes,2,1
1008,17,2,yes,yes,yes,5,5
1009,18,2,no,no,yes,3,4
1010,17,2,yes,yes,no,3,3
1011,17,2,no,no,yes,2,3
1012,18,1,no,yes,yes,3,2
1013,18,3,no,yes,no,3,2
1014,18,2,no,no,yes,3,4
1015,18,2,no,yes,yes,3,2
1016,17,2,yes,yes,yes,3,4
1017,17,2,no,no,no,2,2
1018,18,2,no,no,no,3,4
1019,18,3,no,yes,yes,2,2
1020,17,1,no,yes,yes,2,1
1021,18,1,no,yes,yes,2,3
1022,18,2,no,yes,yes,2,2
1023,18,1,yes,yes,yes,3,3
1024,17,3,yes,no,yes,4,3
1025,17,1,yes,yes,no,5,5
1026,18,3,no,yes,no,4,4
1027,18,3,no,yes,no,3,2
1028,19,2,no,yes,yes,3,3
1029,18,2,yes,yes,no,4,3
1030,18,2,no,yes,yes,1,3
1031,17,2,yes,yes,no,5,4
1032,18,2,yes,yes,no,2,4
1033,18,1,yes,yes,yes,4,3
1034,17,2,yes,yes,no,4,3
1035,19,1,no,no,no,3,2
1036,18,1,no,no,no,4,3
1037,18,3,no,no,no,3,3
1038,17,2,no,yes,no,5,4
1039,18,1,yes,yes,yes,4,3
1040,19,3,yes,yes,no,4,2
1041,18,2,no,yes,no,3,4
1042,18,2,yes,no,no,1,1
1043,17,1,no,yes,no,4,5
1044,18,1,no,yes,no,4,1
