id,school,gender,age,study time,significant other,free time,social activities,weekday drinker,weekend drinker,totaldrinks,drinker,health
1,0,1,18,2,0,3,4,1,1,2,0,3
2,0,1,17,2,0,3,3,1,1,2,0,3
3,0,1,15,2,0,3,2,2,3,5,1,3
4,0,1,15,3,1,2,2,1,1,2,0,5
5,0,1,16,2,0,3,2,1,2,3,0,5
6,0,0,16,2,0,4,2,1,2,3,0,5
7,0,0,16,2,0,4,4,1,1,2,0,3
8,0,1,17,2,0,1,4,1,1,2,0,1
9,0,0,15,2,0,2,2,1,1,2,0,1
10,0,0,15,2,0,5,1,1,1,2,0,5
11,0,1,15,2,0,3,3,1,2,3,0,2
12,0,1,15,3,0,2,2,1,1,2,0,4
13,0,0,15,1,0,3,3,1,3,4,0,5
14,0,0,15,2,0,4,3,1,2,3,0,3
15,0,0,15,3,1,5,2,1,1,2,0,3
16,0,1,16,1,0,4,4,1,2,3,0,2
17,0,1,16,3,0,2,3,1,2,3,0,2
18,0,1,16,2,0,3,2,1,1,2,0,4
19,0,0,17,1,0,5,5,2,4,6,1,5
20,0,0,16,1,0,1,3,1,3,4,0,5
21,0,0,15,2,0,4,1,1,1,2,0,1
22,0,0,15,1,0,4,2,1,1,2,0,5
23,0,0,16,2,0,5,1,1,3,4,0,5
24,0,0,16,2,0,4,4,2,4,6,1,5
25,0,1,15,3,0,3,2,1,1,2,0,5
26,0,1,16,1,0,2,2,1,3,4,0,5
27,0,0,15,1,0,2,2,1,2,3,0,5
28,0,0,15,1,0,2,4,2,4,6,1,1
29,0,0,16,2,0,3,3,1,1,2,0,5
30,0,0,16,2,1,4,5,5,5,10,1,5
31,0,0,15,2,0,4,2,3,4,7,1,5
32,0,0,15,2,0,3,1,1,1,2,0,5
33,0,0,15,2,1,5,2,1,1,2,0,5
34,0,0,15,2,0,3,2,1,1,2,0,2
35,0,0,16,1,0,4,3,1,1,2,0,5
36,0,1,15,1,0,5,1,1,1,2,0,5
37,0,0,15,3,0,4,3,1,1,2,0,4
38,0,0,16,3,1,4,3,1,1,2,0,5
39,0,1,15,3,0,3,2,1,1,2,0,5
40,0,1,15,1,0,3,1,1,1,2,0,2
41,0,1,16,2,1,3,3,1,2,3,0,3
42,0,0,15,1,1,4,3,2,4,6,1,5
43,0,0,15,2,0,3,3,1,1,2,0,5
44,0,0,15,1,0,4,1,1,1,2,0,1
45,0,1,16,2,0,3,3,2,2,4,0,5
46,0,1,15,2,1,2,2,1,1,2,0,5
47,0,1,16,2,0,3,5,1,4,5,1,3
48,0,0,16,4,0,2,2,1,1,2,0,2
49,0,0,15,2,0,3,3,2,2,4,0,5
50,0,1,15,2,0,4,4,1,1,2,0,3
51,0,1,16,2,0,3,3,2,3,5,1,4
52,0,1,15,2,0,3,3,1,1,2,0,5
53,0,0,15,1,0,5,5,3,4,7,1,5
54,0,1,15,1,0,3,4,2,3,5,1,5
55,0,1,15,1,0,3,4,4,4,8,1,1
56,0,1,16,2,1,3,4,1,1,2,0,2
57,0,1,15,2,0,3,2,1,1,2,0,1
58,0,0,15,2,0,2,2,1,1,2,0,5
59,0,0,15,2,0,3,2,1,1,2,0,5
60,0,1,16,2,0,2,3,1,1,2,0,5
61,0,1,16,2,0,4,4,2,3,5,1,4
62,0,1,16,1,1,5,5,5,5,10,1,5
63,0,1,16,2,0,4,3,1,1,2,0,1
64,0,1,16,3,0,4,4,2,4,6,1,4
65,0,1,15,2,1,4,4,2,4,6,1,2
66,0,1,16,2,0,4,3,1,2,3,0,1
67,0,0,15,4,1,3,3,5,5,10,1,3
68,0,1,16,4,0,3,3,1,2,3,0,5
69,0,1,15,2,0,1,3,1,3,4,0,4
70,0,1,15,4,0,4,2,2,3,5,1,3
71,0,0,16,4,0,3,2,1,1,2,0,5
72,0,0,15,4,0,3,3,1,1,2,0,3
73,0,1,15,2,1,3,4,2,4,6,1,5
74,0,0,16,1,0,3,2,2,2,4,0,5
75,0,1,16,2,0,3,3,2,4,6,1,5
76,0,0,15,2,0,3,3,2,3,5,1,5
77,0,0,15,4,0,4,3,1,1,2,0,1
78,0,1,16,4,1,2,3,1,3,4,0,3
79,0,0,17,1,0,5,1,1,1,2,0,3
80,0,1,16,2,0,4,3,1,2,3,0,3
81,0,0,15,1,1,2,2,1,3,4,0,3
82,0,0,15,3,0,3,2,1,2,3,0,5
83,0,1,15,2,0,4,4,1,1,2,0,5
84,0,0,15,2,0,3,3,1,3,4,0,4
85,0,1,15,2,0,3,2,2,3,5,1,4
86,0,1,15,2,1,4,4,2,3,5,1,5
87,0,1,16,2,0,3,4,1,2,3,0,2
88,0,1,15,3,0,3,3,1,3,4,0,1
89,0,0,16,2,0,4,2,1,1,2,0,3
90,0,0,16,2,0,1,3,3,5,8,1,5
91,0,1,16,3,1,3,3,1,3,4,0,4
92,0,1,15,1,0,5,5,1,3,4,0,1
93,0,1,16,2,0,3,3,2,3,5,1,2
94,0,1,16,2,0,3,3,1,1,2,0,1
95,0,0,15,4,0,3,4,1,1,2,0,4
96,0,1,15,4,0,1,2,1,1,2,0,1
97,0,0,16,1,0,3,3,1,1,2,0,4
98,0,1,16,2,1,3,5,1,1,2,0,5
99,0,1,16,1,0,3,4,1,2,3,0,1
100,0,1,16,3,0,3,5,1,1,2,0,3
101,0,0,16,1,0,5,5,5,5,10,1,4
102,0,0,16,3,1,4,3,1,1,2,0,4
103,0,0,15,1,0,3,3,1,1,2,0,5
104,0,1,15,2,0,3,5,1,1,2,0,2
105,0,0,15,2,0,4,4,1,1,2,0,1
106,0,1,15,4,0,3,3,1,1,2,0,4
107,0,1,15,4,0,1,2,1,1,2,0,3
108,0,0,16,3,0,3,3,1,1,2,0,5
109,0,0,15,4,1,3,5,3,5,8,1,1
110,0,1,16,3,1,4,5,1,1,2,0,4
111,0,0,15,1,0,5,3,1,1,2,0,4
112,0,1,16,3,0,1,2,1,1,2,0,2
113,0,1,16,2,0,1,2,1,1,2,0,5
114,0,0,15,1,0,5,2,1,1,2,0,3
115,0,0,15,2,1,4,2,1,1,2,0,5
116,0,0,16,2,0,4,4,1,2,3,0,5
117,0,0,15,2,0,4,3,1,1,2,0,2
118,0,0,16,1,0,4,2,1,1,2,0,5
119,0,0,17,2,0,2,4,1,4,5,1,5
120,0,0,15,1,0,4,3,1,2,3,0,4
121,0,1,15,2,0,2,3,1,2,3,0,1
122,0,0,15,4,0,5,4,1,2,3,0,5
123,0,1,16,2,1,2,2,1,2,3,0,5
124,0,0,16,1,0,4,4,1,4,5,1,5
125,0,1,16,2,1,4,4,1,1,2,0,5
126,0,0,15,1,0,5,5,3,2,5,1,5
127,0,1,15,2,1,3,2,1,1,2,0,1
128,0,1,19,2,0,4,2,1,1,2,0,5
129,0,0,18,1,0,3,3,1,2,3,0,4
130,0,0,16,1,0,5,5,2,5,7,1,4
131,0,1,15,3,1,2,2,2,2,4,0,5
132,0,1,15,1,1,3,3,1,2,3,0,4
133,0,1,17,1,1,4,4,1,3,4,0,5
134,0,1,16,1,0,2,1,1,4,5,1,5
135,0,0,15,2,1,3,3,1,1,2,0,5
136,0,1,15,3,1,3,3,1,1,2,0,5
137,0,0,17,2,0,4,5,2,4,6,1,5
138,0,1,16,1,1,3,2,1,1,2,0,5
139,0,0,16,2,1,4,4,1,3,4,0,5
140,0,1,15,1,0,3,2,1,1,2,0,5
141,0,0,15,4,0,2,2,1,1,2,0,3
142,0,0,16,1,0,3,3,2,2,4,0,2
143,0,1,15,3,0,2,2,1,1,2,0,5
144,0,1,16,1,0,4,4,3,3,6,1,1
145,0,0,17,1,0,4,5,1,2,3,0,5
146,0,1,15,2,0,4,2,1,2,3,0,5
147,0,1,15,2,0,3,2,1,1,2,0,3
148,0,1,15,2,0,3,2,1,1,2,0,5
149,0,0,16,1,1,3,2,2,1,3,0,5
150,0,0,15,1,0,5,5,2,5,7,1,5
151,0,0,18,1,1,3,5,2,5,7,1,4
152,0,0,16,1,1,4,4,3,5,8,1,5
153,0,1,15,3,1,2,1,2,3,5,1,3
154,0,0,19,1,1,5,4,1,1,2,0,4
155,0,1,17,1,1,2,1,1,1,2,0,4
156,0,0,15,2,0,4,4,1,1,2,0,1
157,0,0,17,1,0,2,2,3,3,6,1,5
158,0,1,18,1,0,2,5,1,5,6,1,4
159,0,0,16,1,0,2,2,1,2,3,0,3
160,0,0,16,2,1,5,5,4,4,8,1,5
161,0,0,17,1,1,3,2,2,2,4,0,5
162,0,0,15,2,1,4,4,1,4,5,1,3
163,0,0,16,1,0,4,4,2,4,6,1,5
164,0,0,17,1,0,3,3,1,4,5,1,2
165,0,0,17,2,1,3,5,1,5,6,1,5
166,0,0,16,1,0,5,2,1,1,2,0,2
167,0,0,16,2,0,3,5,2,4,6,1,4
168,0,1,16,2,1,2,3,1,1,2,0,3
169,0,1,16,2,0,1,5,1,1,2,0,4
170,0,1,16,2,1,4,2,1,1,2,0,3
171,0,0,16,1,0,4,5,2,4,6,1,2
172,0,0,16,2,1,3,2,1,1,2,0,3
173,0,0,17,2,0,4,4,1,3,4,0,5
174,0,1,16,2,1,3,5,1,1,2,0,3
175,0,1,16,2,0,4,5,1,1,2,0,4
176,0,0,17,2,0,4,4,4,4,8,1,4
177,0,1,16,2,0,4,4,1,4,5,1,5
178,0,0,17,2,0,3,4,1,4,5,1,4
179,0,0,16,1,1,3,3,3,4,7,1,3
180,0,0,17,2,1,2,3,1,1,2,0,2
181,0,0,16,2,0,4,3,2,3,5,1,3
182,0,0,16,2,1,2,3,1,2,3,0,3
183,0,1,17,2,0,4,2,2,3,5,1,5
184,0,1,17,2,1,3,3,2,3,5,1,1
185,0,1,16,2,0,2,2,1,2,3,0,1
186,0,0,17,2,1,3,4,2,3,5,1,4
187,0,0,16,1,1,3,3,1,2,3,0,3
188,0,0,16,2,1,2,3,1,2,3,0,5
189,0,1,17,2,1,3,3,1,3,4,0,3
190,0,0,17,2,0,1,3,1,5,6,1,3
191,0,1,16,2,0,3,3,1,1,2,0,2
192,0,1,17,2,0,3,3,1,1,2,0,3
193,0,0,17,2,0,4,4,4,5,9,1,5
194,0,0,16,1,0,3,2,3,4,7,1,5
195,0,0,16,1,0,3,3,1,1,2,0,3
196,0,1,17,2,1,3,2,1,1,2,0,5
197,0,0,17,1,0,2,3,1,2,3,0,5
198,0,0,16,1,0,3,4,3,5,8,1,3
199,0,1,17,1,0,2,4,2,3,5,1,2
200,0,1,16,2,0,5,2,1,2,3,0,3
201,0,1,16,2,0,3,5,1,5,6,1,2
202,0,1,16,2,0,4,3,1,3,4,0,4
203,0,1,17,2,0,4,4,1,3,4,0,1
204,0,1,17,1,0,3,2,1,2,3,0,3
205,0,1,16,4,0,3,5,1,1,2,0,5
206,0,1,17,3,1,4,3,3,4,7,1,5
207,0,1,16,2,0,3,3,2,2,4,0,4
208,0,1,16,2,1,3,2,1,1,2,0,1
209,0,1,16,1,0,3,2,1,4,5,1,5
210,0,1,17,3,1,4,2,1,1,2,0,4
211,0,1,19,4,0,3,3,1,2,3,0,3
212,0,0,17,2,1,3,5,4,5,9,1,3
213,0,1,16,2,0,3,4,1,1,2,0,4
214,0,0,18,2,0,4,4,2,4,6,1,5
215,0,1,17,1,0,2,1,1,2,3,0,3
216,0,1,17,2,0,4,4,1,3,4,0,1
217,0,1,17,2,1,4,5,2,4,6,1,1
218,0,0,18,2,0,2,4,2,4,6,1,4
219,0,1,17,1,0,3,3,1,4,5,1,3
220,0,1,17,3,0,3,3,1,1,2,0,4
221,0,1,17,2,0,2,5,1,2,3,0,5
222,0,1,17,3,1,3,4,1,1,2,0,5
223,0,1,16,2,0,3,1,1,1,2,0,3
224,0,0,18,2,0,3,3,5,5,10,1,4
225,0,1,16,3,0,3,2,1,1,2,0,5
226,0,1,18,2,1,3,3,1,1,2,0,4
227,0,1,17,2,0,3,4,1,3,4,0,3
228,0,0,17,2,0,3,3,1,3,4,0,3
229,0,0,18,2,1,3,2,4,5,9,1,3
230,0,1,17,3,1,2,3,1,2,3,0,3
231,0,1,17,2,1,2,3,1,2,3,0,3
232,0,0,17,2,0,5,2,1,1,2,0,1
233,0,0,17,2,1,5,5,1,3,4,0,2
234,0,0,16,2,0,2,4,2,4,6,1,1
235,0,0,16,2,0,4,2,1,1,2,0,5
236,0,0,16,3,1,3,3,1,3,4,0,2
237,0,0,17,2,1,4,2,5,5,10,1,4
238,0,1,16,1,1,5,2,1,1,2,0,5
239,0,1,17,2,0,1,1,1,1,2,0,3
240,0,0,18,2,0,5,4,3,5,8,1,2
241,0,0,17,2,1,5,5,1,4,5,1,5
242,0,0,17,2,0,3,3,2,3,5,1,4
243,0,0,16,1,0,4,5,1,1,2,0,3
244,0,0,16,1,0,3,2,1,2,3,0,5
245,0,1,18,3,1,4,4,1,1,2,0,3
246,0,0,16,1,0,3,3,1,1,2,0,4
247,0,0,17,1,0,2,2,1,1,2,0,2
248,0,0,22,1,1,4,5,5,5,10,1,1
249,0,0,18,2,1,3,3,1,3,4,0,5
250,0,0,16,1,0,3,2,2,4,6,1,5
251,0,0,18,1,0,4,5,2,4,6,1,5
252,0,0,16,2,0,3,3,1,3,4,0,2
253,0,0,18,1,0,2,5,2,5,7,1,5
254,0,0,16,1,0,3,2,1,3,4,0,3
255,0,0,17,1,0,4,2,2,4,6,1,5
256,0,0,17,1,0,4,4,1,2,3,0,5
257,0,1,17,4,0,2,3,1,1,2,0,4
258,0,0,19,2,0,3,1,1,1,2,0,1
259,0,0,18,2,0,2,4,1,2,3,0,4
260,0,1,17,4,1,4,1,1,1,2,0,2
261,0,1,18,2,1,1,2,1,3,4,0,2
262,0,0,18,2,0,3,2,1,1,2,0,3
263,0,0,18,3,0,3,2,1,1,2,0,3
264,0,1,17,3,0,2,3,1,1,2,0,4
265,0,1,18,3,1,3,3,1,1,2,0,3
266,0,0,18,2,0,2,5,3,4,7,1,1
267,0,0,17,2,1,4,4,3,4,7,1,5
268,0,1,18,2,0,3,4,2,2,4,0,4
269,0,0,18,2,1,4,5,1,3,4,0,5
270,0,1,18,2,1,3,5,1,2,3,0,3
271,0,1,19,2,0,3,5,3,3,6,1,5
272,0,1,18,4,1,5,5,1,3,4,0,2
273,0,1,18,2,0,4,3,1,1,2,0,3
274,0,0,17,2,1,5,2,2,2,4,0,1
275,0,1,17,2,1,3,3,1,1,2,0,1
276,0,1,17,2,1,4,4,2,3,5,1,5
277,0,1,18,2,1,1,1,1,1,2,0,5
278,0,0,18,1,0,2,4,1,4,5,1,3
279,0,1,18,2,1,4,4,1,1,2,0,4
280,0,0,18,1,0,2,3,1,2,3,0,1
281,0,0,17,1,1,5,4,2,4,6,1,5
282,0,0,17,1,0,4,4,3,4,7,1,3
283,0,1,18,4,0,2,2,1,1,2,0,3
284,0,1,18,2,0,4,4,1,1,2,0,4
285,0,1,17,2,0,4,5,1,2,3,0,5
286,0,0,17,2,0,3,3,1,2,3,0,4
287,0,1,18,3,0,3,3,1,2,3,0,2
288,0,1,17,3,0,3,3,1,1,2,0,3
289,0,0,18,3,0,2,4,1,3,4,0,2
290,0,0,18,2,0,4,3,1,1,2,0,2
291,0,0,18,2,1,3,2,1,4,5,1,5
292,0,1,17,3,0,2,2,1,2,3,0,3
293,0,1,18,2,1,4,3,1,1,2,0,5
294,0,1,17,4,0,1,2,1,1,2,0,3
295,0,0,18,3,0,4,2,1,1,2,0,4
296,0,0,17,1,0,4,3,1,3,4,0,5
297,0,1,19,2,0,3,4,2,3,5,1,2
298,0,1,18,2,1,4,5,1,2,3,0,2
299,0,1,18,4,0,3,3,1,1,2,0,3
300,0,0,18,1,1,4,2,2,2,4,0,1
301,0,1,18,2,1,2,4,1,1,2,0,4
302,0,0,17,1,0,1,1,2,2,4,0,5
303,0,1,17,3,0,3,3,1,1,2,0,3
304,0,1,17,4,0,2,2,1,2,3,0,5
305,0,0,19,2,1,4,4,1,1,2,0,3
306,0,1,18,2,0,4,3,1,1,2,0,3
307,0,0,20,1,0,5,3,1,1,2,0,5
308,0,0,19,1,1,3,4,1,1,2,0,4
309,0,0,19,2,1,5,3,1,2,3,0,5
310,0,1,19,2,0,4,3,1,3,4,0,3
311,0,1,19,2,1,2,4,2,2,4,0,3
312,0,1,19,2,1,4,1,1,1,2,0,2
313,0,0,19,2,0,5,2,2,2,4,0,4
314,0,1,19,2,1,2,2,1,2,3,0,1
315,0,1,19,3,1,1,2,1,1,2,0,3
316,0,1,19,3,1,1,2,1,1,2,0,3
317,0,1,18,2,0,3,3,1,2,3,0,1
318,0,1,18,3,1,3,4,1,1,2,0,5
319,0,1,17,3,0,3,4,2,5,7,1,5
320,0,1,18,2,0,4,4,3,3,6,1,5
321,0,1,17,2,1,2,2,1,2,3,0,5
322,0,1,17,2,1,2,2,1,1,2,0,3
323,0,1,17,3,0,3,2,2,2,4,0,3
324,0,1,17,3,0,4,3,2,3,5,1,5
325,0,1,17,3,0,3,3,2,3,5,1,2
326,0,0,18,3,0,3,3,2,2,4,0,3
327,0,0,17,1,0,3,5,3,5,8,1,5
328,0,0,17,1,0,4,5,5,5,10,1,4
329,0,1,17,3,0,4,4,1,3,4,0,4
330,0,1,17,3,1,3,3,1,2,3,0,4
331,0,0,18,4,0,5,5,2,4,6,1,5
332,0,1,17,3,1,4,3,1,1,2,0,5
333,0,1,18,2,0,3,4,1,1,2,0,4
334,0,1,18,2,1,3,3,1,1,2,0,2
335,0,1,18,4,0,4,4,1,1,2,0,4
336,0,1,17,3,0,4,5,1,3,4,0,5
337,0,1,19,3,0,4,3,1,2,3,0,5
338,0,1,17,2,1,3,2,2,3,5,1,2
339,0,1,18,4,0,3,3,1,1,2,0,1
340,0,1,17,2,0,3,3,2,3,5,1,2
341,0,1,19,3,1,3,4,1,3,4,0,3
342,0,0,18,2,0,3,3,2,2,4,0,2
343,0,0,18,2,1,3,3,1,3,4,0,5
344,0,1,17,2,1,3,1,1,2,3,0,4
345,0,1,18,3,0,3,3,1,2,3,0,3
346,0,1,18,3,1,4,3,2,3,5,1,1
347,0,0,18,3,1,3,2,1,2,3,0,4
